   Operation      Sample         Ops
SeqWrite-254684-4   0            1   140820.00
SeqWrite-254684-4   0            2   140824.00
SeqWrite-254684-4   0            3   141290.00
SeqWrite-254684-4   0            4   140823.00
SeqWrite-254684-4   0            5   139437.00
Rewrite-254684-4    0            1   154100.00
Rewrite-254684-4    0            2   154660.00
Rewrite-254684-4    0            3   154101.00
Rewrite-254684-4    0            4   154100.00
Rewrite-254684-4    0            5   152443.00
SeqRead-254684-4    0            1  2658659.00
SeqRead-254684-4    0            2  2658103.00
SeqRead-254684-4    0            3  2658136.00
SeqRead-254684-4    0            4  2658361.00
SeqRead-254684-4    0            5  2659102.00
Reread-254684-4     0            1  2858725.00
Reread-254684-4     0            2  2865542.00
Reread-254684-4     0            3  2851331.00
Reread-254684-4     0            4  2865865.00
Reread-254684-4     0            5  2868805.00
RandRead-254684-4   0            1  2119384.00
RandRead-254684-4   0            2  2103591.00
RandRead-254684-4   0            3  2111599.00
RandRead-254684-4   0            4  2105469.00
RandRead-254684-4   0            5  2119400.00
RandWrite-254684-4  0            1   140433.00
RandWrite-254684-4  0            2   135131.00
RandWrite-254684-4  0            3   141894.00
RandWrite-254684-4  0            4   141885.00
RandWrite-254684-4  0            5   140408.00
BackRead-254684-4   0            1  2026011.00
BackRead-254684-4   0            2  2025431.00
BackRead-254684-4   0            3  2025949.00
BackRead-254684-4   0            4  2025723.00
BackRead-254684-4   0            5  2026414.00
SeqWrite-509368-4   0            1   142002.00
SeqWrite-509368-4   0            2   142002.00
SeqWrite-509368-4   0            3   141060.00
SeqWrite-509368-4   0            4   141060.00
SeqWrite-509368-4   0            5   140130.00
Rewrite-509368-4    0            1   108500.00
Rewrite-509368-4    0            2   152718.00
Rewrite-509368-4    0            3   151628.00
Rewrite-509368-4    0            4   152443.00
Rewrite-509368-4    0            5   150024.00
SeqRead-509368-4    0            1  2658317.00
SeqRead-509368-4    0            2  2658096.00
SeqRead-509368-4    0            3  2658291.00
SeqRead-509368-4    0            4  2658205.00
SeqRead-509368-4    0            5  2658413.00
Reread-509368-4     0            1  2787302.00
Reread-509368-4     0            2  2821420.00
Reread-509368-4     0            3  2821718.00
Reread-509368-4     0            4  2820389.00
Reread-509368-4     0            5  2799937.00
RandRead-509368-4   0            1  2066257.00
RandRead-509368-4   0            2  2059733.00
RandRead-509368-4   0            3  2071772.00
RandRead-509368-4   0            4  2052933.00
RandRead-509368-4   0            5  2074540.00
RandWrite-509368-4  0            1   141314.00
RandWrite-509368-4  0            2   141967.00
RandWrite-509368-4  0            3   140272.00
RandWrite-509368-4  0            4   140827.00
RandWrite-509368-4  0            5   140081.00
BackRead-509368-4   0            1  2025884.00
BackRead-509368-4   0            2  2025891.00
BackRead-509368-4   0            3  2025947.00
BackRead-509368-4   0            4  2026014.00
BackRead-509368-4   0            5  2025924.00
SeqWrite-1018736-4  0            1   141409.00
SeqWrite-1018736-4  0            2   136526.00
SeqWrite-1018736-4  0            3   139669.00
SeqWrite-1018736-4  0            4   140825.00
SeqWrite-1018736-4  0            5   141059.00
Rewrite-1018736-4   0            1   153407.00
Rewrite-1018736-4   0            2   149629.00
Rewrite-1018736-4   0            3   151900.00
Rewrite-1018736-4   0            4   152444.00
Rewrite-1018736-4   0            5   151514.00
SeqRead-1018736-4   0            1  2744078.00
SeqRead-1018736-4   0            2  2744011.00
SeqRead-1018736-4   0            3  2744159.00
SeqRead-1018736-4   0            4  2790514.00
SeqRead-1018736-4   0            5  2737697.00
Reread-1018736-4    0            1  2807153.00
Reread-1018736-4    0            2  2825114.00
Reread-1018736-4    0            3  2799201.00
Reread-1018736-4    0            4  2819086.00
Reread-1018736-4    0            5  2803322.00
RandRead-1018736-4  0            1  2044295.00
RandRead-1018736-4  0            2  2042823.00
RandRead-1018736-4  0            3  2042984.00
RandRead-1018736-4  0            4  2036038.00
RandRead-1018736-4  0            5  2045462.00
RandWrite-1018736-4 0            1   140084.00
RandWrite-1018736-4 0            2   135045.00
RandWrite-1018736-4 0            3   137841.00
RandWrite-1018736-4 0            4   139068.00
RandWrite-1018736-4 0            5   138288.00
BackRead-1018736-4  0            1  2075144.00
BackRead-1018736-4  0            2  2075005.00
BackRead-1018736-4  0            3  2074962.00
BackRead-1018736-4  0            4  2073969.00
BackRead-1018736-4  0            5  2070542.00
SeqWrite-2037472-4  0            1   141001.00
SeqWrite-2037472-4  0            2   138759.00
SeqWrite-2037472-4  0            3   139384.00
SeqWrite-2037472-4  0            4   139670.00
SeqWrite-2037472-4  0            5   139042.00
Rewrite-2037472-4   0            1   153260.00
Rewrite-2037472-4   0            2   151653.00
Rewrite-2037472-4   0            3   144793.00
Rewrite-2037472-4   0            4   152199.00
Rewrite-2037472-4   0            5   151902.00
SeqRead-2037472-4   0            1  2815035.00
SeqRead-2037472-4   0            2  2827321.00
SeqRead-2037472-4   0            3  2811024.00
SeqRead-2037472-4   0            4  2826093.00
SeqRead-2037472-4   0            5  2811527.00
Reread-2037472-4    0            1  2827916.00
Reread-2037472-4    0            2  2832059.00
Reread-2037472-4    0            3  2819397.00
Reread-2037472-4    0            4  2840509.00
Reread-2037472-4    0            5  2830420.00
RandRead-2037472-4  0            1  2008927.00
RandRead-2037472-4  0            2  2019432.00
RandRead-2037472-4  0            3  2001473.00
RandRead-2037472-4  0            4  1991447.00
RandRead-2037472-4  0            5  2015341.00
RandWrite-2037472-4 0            1   138316.00
RandWrite-2037472-4 0            2   137003.00
RandWrite-2037472-4 0            3   137376.00
RandWrite-2037472-4 0            4   137838.00
RandWrite-2037472-4 0            5   137729.00
BackRead-2037472-4  0            1  2114933.00
BackRead-2037472-4  0            2  2121772.00
BackRead-2037472-4  0            3  2099646.00
BackRead-2037472-4  0            4  2121089.00
BackRead-2037472-4  0            5  2112913.00
