   Operation      Sample         Ops
1   0           12      130.00
1   0           16      128.50
1   0           20      165.50
1   0           24      163.50
1   0           28      164.75
1   0           32      153.00
1   0           36      134.25
1   0           40      131.25
1   0           44      135.75
1   0           48      128.00
1   0           52      165.25
1   0           56      161.75
1   0           60      164.50
1   0           64      149.00
1   0           68      133.00
1   0           72      132.25
1   0           76      134.25
1   0           80      130.25
1   0           84      161.50
1   0           88      164.50
1   0           92      165.00
1   0           96      149.25
1   0          100      134.25
1   0          104      131.25
1   0          108      135.50
1   0          112      133.25
1   0          116      161.00
1   0          120      163.75
1   0          124      164.75
1   0          128      153.50
1   0          132      139.50
1   0          136      143.50
1   0          140      128.75
1   0          144      118.00
1   0          148      164.50
1   0          152      161.50
1   0          156      165.00
1   0          160      136.75
1   0          164      119.75
1   0          168      138.25
1   0          172      139.75
1   0          176      124.75
1   0          180      160.75
1   0          184      160.75
1   0          188      163.00
1   0          192      142.00
1   0          196      129.75
1   0          200      131.50
1   0          204      132.25
1   0          208      130.50
1   0          212      164.00
1   0          216      162.25
1   0          220      162.00
1   0          224      144.25
1   0          228      130.50
1   0          232      131.00
1   0          236      129.75
1   0          240      133.00
1   0          244      159.00
1   0          248      159.75
1   0          252      159.50
1   0          256      148.25
1   0          260      132.00
1   0          264      134.00
1   0          268      127.00
1   0          272      130.50
1   0          276      165.50
1   0          280      163.50
1   0          284      164.75
1   0          288      144.50
1   0          292      133.00
1   0          296      127.75
8   0           12       66.75
8   0           16       70.75
8   0           20       86.50
8   0           24       89.50
8   0           28       63.00
8   0           32       63.25
8   0           36       98.75
8   0           40       78.50
8   0           44       61.50
8   0           48       68.25
8   0           52       96.25
8   0           56       69.50
8   0           60       62.00
8   0           64       68.50
8   0           68      101.00
8   0           72       60.00
8   0           76       61.50
8   0           80       78.25
8   0           84       94.50
8   0           88       59.50
8   0           92       64.50
8   0           96       85.50
8   0          100       88.50
8   0          104       63.75
8   0          108       57.75
8   0          112       97.50
8   0          116       74.75
8   0          120       60.50
8   0          124       68.50
8   0          128       95.50
8   0          132       70.00
8   0          136       66.00
8   0          140       76.00
8   0          144       98.00
8   0          148       64.75
8   0          152       60.00
8   0          156       79.00
8   0          160       87.00
8   0          164       62.25
8   0          168       57.50
8   0          172       91.50
8   0          176       82.25
8   0          180       58.00
8   0          184       63.50
8   0          188       94.00
8   0          192       75.50
8   0          196       59.25
8   0          200       69.50
8   0          204       95.75
8   0          208       72.50
8   0          212       62.00
8   0          216       82.00
8   0          220      100.25
8   0          224       65.25
8   0          228       64.25
8   0          232       89.25
8   0          236       90.25
8   0          240       61.50
8   0          244       55.75
8   0          248      100.50
8   0          252       72.00
8   0          256       71.50
8   0          260       66.50
8   0          264       97.75
8   0          268       54.25
8   0          272       69.50
8   0          276       78.75
8   0          280       91.50
8   0          284       61.25
8   0          288       58.00
8   0          292      100.75
8   0          296       77.25
12  0           12       72.75
12  0           16       68.50
12  0           20      121.25
12  0           24       83.25
12  0           28       69.50
12  0           32       85.50
12  0           36      103.00
12  0           40       71.25
12  0           44       65.50
12  0           48      114.00
12  0           52       81.25
12  0           56       66.75
12  0           60      107.50
12  0           64       94.00
12  0           68       74.75
12  0           72       79.25
12  0           76      105.25
12  0           80       61.75
12  0           84       65.00
12  0           88      109.75
12  0           92       80.50
12  0           96       75.00
12  0          100       91.00
12  0          104       96.75
12  0          108       69.75
12  0          112       71.75
12  0          116      115.50
12  0          120       69.75
12  0          124       66.50
12  0          128      105.25
12  0          132       90.75
12  0          136       66.75
12  0          140       83.50
12  0          144      108.50
12  0          148       72.50
12  0          152       72.25
12  0          156      113.75
12  0          160       80.00
12  0          164       80.00
12  0          168      100.25
12  0          172      104.50
12  0          176       72.00
12  0          180       78.25
12  0          184      124.25
12  0          188       80.75
12  0          192       74.75
12  0          196      109.50
12  0          200       90.00
12  0          204       76.00
12  0          208       90.25
12  0          212      107.00
12  0          216       75.75
12  0          220       72.25
12  0          224      116.75
12  0          228       83.25
12  0          232       68.00
12  0          236       90.50
12  0          240      103.00
12  0          244       80.75
12  0          248       65.50
12  0          252      113.00
12  0          256       66.25
12  0          260       69.25
12  0          264      119.25
12  0          268       82.50
12  0          272       76.50
12  0          276       88.00
12  0          280      108.25
12  0          284       75.50
12  0          288       76.50
12  0          292      114.50
12  0          296       76.00
24  0           12       79.50
24  0           16      113.00
24  0           20       97.00
24  0           24       72.50
24  0           28      103.00
24  0           32       92.75
24  0           36       78.50
24  0           40      114.00
24  0           44       96.75
24  0           48       72.00
24  0           52      110.75
24  0           56       96.25
24  0           60       68.75
24  0           64      109.75
24  0           68       93.50
24  0           72       65.50
24  0           76      116.25
24  0           80      104.75
24  0           84       76.00
24  0           88       95.25
24  0           92      115.25
24  0           96       78.25
24  0          100       96.50
24  0          104      108.25
24  0          108       68.50
24  0          112      100.50
24  0          116      112.50
24  0          120       75.50
24  0          124       90.25
24  0          128      127.50
24  0          132       80.75
24  0          136       94.25
24  0          140      124.75
24  0          144       73.50
24  0          148       95.75
24  0          152      107.50
24  0          156       79.25
24  0          160       87.00
24  0          164      129.50
24  0          168       75.50
24  0          172       83.75
24  0          176      145.50
24  0          180       84.50
24  0          184       79.25
24  0          188      125.50
24  0          192       98.25
24  0          196       68.25
24  0          200      118.00
24  0          204       72.25
24  0          208       84.00
24  0          212      126.75
24  0          216       77.75
24  0          220       65.50
24  0          224      138.00
24  0          228       76.00
24  0          232       73.25
24  0          236      133.25
24  0          240       82.25
24  0          244       71.00
24  0          248      123.00
24  0          252       75.50
