   Operation      Sample         Ops
task-0-p2       0            1    20513.00
task-0-p2       0            2    20233.00
task-0-p2       0            3      395.00
task-0-p2       0            4    20147.00
task-0-p2       0            5      419.00
task-0-p2       0            6      418.00
task-0-p2       0            7      386.00
task-0-p2       0            8      413.00
task-0-p2       0            9      408.00
task-0-p2       0           10      385.00
task-0-p2       0           11      443.00
task-0-p2       0           12      420.00
task-0-p2       0           13      425.00
task-0-p2       0           14      410.00
task-0-p2       0           15      383.00
task-0-p2       0           16      426.00
task-0-p2       0           17      412.00
task-0-p2       0           18      380.00
task-0-p2       0           19      423.00
task-0-p2       0           20      424.00
task-0-p2       0           21      433.00
task-0-p2       0           22      390.00
task-0-p2       0           23      434.00
task-0-p2       0           24      426.00
task-0-p2       0           25      441.00
task-0-p2       0           26      394.00
task-0-p2       0           27      407.00
task-0-p2       0           28      408.00
task-0-p2       0           29      393.00
task-0-p2       0           30      429.00
task-0-p2       0           31      425.00
task-0-p2       0           32      375.00
task-0-p2       0           33      363.00
task-0-p2       0           34      433.00
task-0-p2       0           35      373.00
task-0-p2       0           36      385.00
task-0-p2       0           37      432.00
task-0-p2       0           38      432.00
task-0-p2       0           39      432.00
task-0-p2       0           40      438.00
task-0-p2       0           41      380.00
task-0-p2       0           42      442.00
task-0-p2       0           43      397.00
task-0-p2       0           44      380.00
task-0-p2       0           45      386.00
task-0-p2       0           46      390.00
task-0-p2       0           47      377.00
task-0-p2       0           48      376.00
task-0-p2       0           49      395.00
task-0-p2       0           50      378.00
task-1-p3       0            1      165.00
task-1-p3       0            2    20158.00
task-1-p3       0            3      424.00
task-1-p3       0            4      416.00
task-1-p3       0            5      419.00
task-1-p3       0            6      417.00
task-1-p3       0            7      385.00
task-1-p3       0            8      412.00
task-1-p3       0            9      407.00
task-1-p3       0           10      384.00
task-1-p3       0           11      440.00
task-1-p3       0           12      416.00
task-1-p3       0           13      419.00
task-1-p3       0           14      406.00
task-1-p3       0           15      380.00
task-1-p3       0           16      425.00
task-1-p3       0           17      411.00
task-1-p3       0           18      378.00
task-1-p3       0           19      421.00
task-1-p3       0           20      419.00
task-1-p3       0           21      428.00
task-1-p3       0           22      390.00
task-1-p3       0           23      434.00
task-1-p3       0           24      419.00
task-1-p3       0           25      438.00
task-1-p3       0           26      394.00
task-1-p3       0           27      404.00
task-1-p3       0           28      406.00
task-1-p3       0           29      393.00
task-1-p3       0           30      426.00
task-1-p3       0           31      424.00
task-1-p3       0           32      374.00
task-1-p3       0           33      359.00
task-1-p3       0           34      429.00
task-1-p3       0           35      369.00
task-1-p3       0           36      382.00
task-1-p3       0           37      431.00
task-1-p3       0           38      430.00
task-1-p3       0           39      426.00
task-1-p3       0           40      432.00
task-1-p3       0           41      378.00
task-1-p3       0           42      438.00
task-1-p3       0           43      395.00
task-1-p3       0           44      379.00
task-1-p3       0           45      375.00
task-1-p3       0           46      387.00
task-1-p3       0           47      374.00
task-1-p3       0           48      372.00
task-1-p3       0           49      393.00
task-1-p3       0           50      376.00
task-2-p4       0            1      158.00
task-2-p4       0            2      431.00
task-2-p4       0            3    20243.00
task-2-p4       0            4      424.00
task-2-p4       0            5      424.00
task-2-p4       0            6      427.00
task-2-p4       0            7      394.00
task-2-p4       0            8      418.00
task-2-p4       0            9      416.00
task-2-p4       0           10      392.00
task-2-p4       0           11      455.00
task-2-p4       0           12      426.00
task-2-p4       0           13      427.00
task-2-p4       0           14      415.00
task-2-p4       0           15      388.00
task-2-p4       0           16      433.00
task-2-p4       0           17      416.00
task-2-p4       0           18      387.00
task-2-p4       0           19      430.00
task-2-p4       0           20      432.00
task-2-p4       0           21      438.00
task-2-p4       0           22      398.00
task-2-p4       0           23      443.00
task-2-p4       0           24      425.00
task-2-p4       0           25      446.00
task-2-p4       0           26      400.00
task-2-p4       0           27      410.00
task-2-p4       0           28      418.00
task-2-p4       0           29      399.00
task-2-p4       0           30      432.00
task-2-p4       0           31      436.00
task-2-p4       0           32      382.00
task-2-p4       0           33      369.00
task-2-p4       0           34      438.00
task-2-p4       0           35      379.00
task-2-p4       0           36      389.00
task-2-p4       0           37      437.00
task-2-p4       0           38      436.00
task-2-p4       0           39      432.00
task-2-p4       0           40      440.00
task-2-p4       0           41      385.00
task-2-p4       0           42      445.00
task-2-p4       0           43      407.00
task-2-p4       0           44      388.00
task-2-p4       0           45      381.00
task-2-p4       0           46      400.00
task-2-p4       0           47      381.00
task-2-p4       0           48      380.00
task-2-p4       0           49      397.00
task-2-p4       0           50      384.00
task-3-p5       0            1    20229.00
task-3-p5       0            2      431.00
task-3-p5       0            3    20202.00
task-3-p5       0            4      422.00
task-3-p5       0            5      427.00
task-3-p5       0            6      427.00
task-3-p5       0            7      394.00
task-3-p5       0            8      417.00
task-3-p5       0            9      415.00
task-3-p5       0           10      394.00
task-3-p5       0           11      447.00
task-3-p5       0           12      423.00
task-3-p5       0           13      425.00
task-3-p5       0           14      414.00
task-3-p5       0           15      385.00
task-3-p5       0           16      432.00
task-3-p5       0           17      415.00
task-3-p5       0           18      387.00
task-3-p5       0           19      430.00
task-3-p5       0           20      432.00
task-3-p5       0           21      435.00
task-3-p5       0           22      390.00
task-3-p5       0           23      441.00
task-3-p5       0           24      424.00
task-3-p5       0           25      445.00
task-3-p5       0           26      400.00
task-3-p5       0           27      410.00
task-3-p5       0           28      416.00
task-3-p5       0           29      399.00
task-3-p5       0           30      431.00
task-3-p5       0           31      430.00
task-3-p5       0           32      382.00
task-3-p5       0           33      366.00
task-3-p5       0           34      435.00
task-3-p5       0           35      379.00
task-3-p5       0           36      387.00
task-3-p5       0           37      436.00
task-3-p5       0           38      435.00
task-3-p5       0           39      432.00
task-3-p5       0           40      440.00
task-3-p5       0           41      386.00
task-3-p5       0           42      443.00
task-3-p5       0           43      404.00
task-3-p5       0           44      388.00
task-3-p5       0           45      381.00
task-3-p5       0           46      398.00
task-3-p5       0           47      381.00
task-3-p5       0           48      379.00
task-3-p5       0           49      395.00
task-3-p5       0           50      381.00
task-4-p6       0            1    20514.00
task-4-p6       0            2      414.00
task-4-p6       0            3      425.00
task-4-p6       0            4      404.00
task-4-p6       0            5      420.00
task-4-p6       0            6      421.00
task-4-p6       0            7      388.00
task-4-p6       0            8      411.00
