   Operation      Sample     Latency
10-i1-d0   0            1  2171023.80
10-i1-d0   0            2  2030835.40
10-i1-d0   0            3  2157762.20
10-i128-d0 0            1  1095006.00
10-i128-d0 0            2  1092239.20
10-i128-d0 0            3  1100666.20
10-i16-d0  0            1  2530271.40
10-i16-d0  0            2  2503846.20
10-i16-d0  0            3  2542321.80
10-i2-d0   0            1  2724415.20
10-i2-d0   0            2  2757412.40
10-i2-d0   0            3  2703578.20
10-i32-d0  0            1  1832460.20
10-i32-d0  0            2  1844836.20
10-i32-d0  0            3  1839712.80
10-i4-d0   0            1  3715668.60
10-i4-d0   0            2  3760342.80
10-i4-d0   0            3  3727824.20
10-i64-d0  0            1  1337077.20
10-i64-d0  0            2  1328917.40
10-i64-d0  0            3  1324373.60
10-i8-d0   0            1  3041311.40
10-i8-d0   0            2  3020114.00
10-i8-d0   0            3  3036863.80
100-i1-d0  0            1  6207125.80
100-i1-d0  0            2  5896846.40
100-i1-d0  0            3  6146262.40
100-i128-d00            1  5032576.60
100-i128-d00            2  5221235.80
100-i128-d00            3  4994876.40
100-i16-d0 0            1  4889093.20
100-i16-d0 0            2  4857311.40
100-i16-d0 0            3  4747569.00
100-i2-d0  0            1  4586167.20
100-i2-d0  0            2  4671102.60
100-i2-d0  0            3  4368007.80
100-i32-d0 0            1  4558303.80
100-i32-d0 0            2  4535337.00
100-i32-d0 0            3  4508681.20
100-i4-d0  0            1  4450090.60
100-i4-d0  0            2  4460426.20
100-i4-d0  0            3  4310986.00
100-i64-d0 0            1  4410736.00
100-i64-d0 0            2  4355355.60
100-i64-d0 0            3  4391136.00
100-i8-d0  0            1  4848017.40
100-i8-d0  0            2  4876153.60
100-i8-d0  0            3  4756560.20
120-i1-d0  0            1  5369627.40
120-i1-d0  0            2  5424321.00
120-i1-d0  0            3  5385131.80
120-i128-d00            1  4651026.00
120-i128-d00            2  4736395.40
120-i128-d00            3  4625959.20
120-i16-d0 0            1  4573390.80
120-i16-d0 0            2  4552538.80
120-i16-d0 0            3  4429165.80
120-i2-d0  0            1  4395584.40
120-i2-d0  0            2  4491182.80
120-i2-d0  0            3  4203210.80
120-i32-d0 0            1  4336205.00
120-i32-d0 0            2  4303501.20
120-i32-d0 0            3  4333040.00
120-i4-d0  0            1  4123027.40
120-i4-d0  0            2  4139810.00
120-i4-d0  0            3  4038519.00
120-i64-d0 0            1  4304964.00
120-i64-d0 0            2  4269880.80
120-i64-d0 0            3  4248731.40
120-i8-d0  0            1  4544511.40
120-i8-d0  0            2  4601074.00
120-i8-d0  0            3  4462252.60
14-i1-d0   0            1  2542214.80
14-i1-d0   0            2  2705463.40
14-i1-d0   0            3  2609274.80
14-i128-d0 0            1  1218058.20
14-i128-d0 0            2  1207886.00
14-i128-d0 0            3  1211873.00
14-i16-d0  0            1  3183905.60
14-i16-d0  0            2  3123923.00
14-i16-d0  0            3  3118094.20
14-i2-d0   0            1  4060740.80
14-i2-d0   0            2  3948500.80
14-i2-d0   0            3  3920125.00
14-i32-d0  0            1  2184239.60
14-i32-d0  0            2  2158300.60
14-i32-d0  0            3  2197722.00
14-i4-d0   0            1  5082121.20
14-i4-d0   0            2  4984358.80
14-i4-d0   0            3  4913417.80
14-i64-d0  0            1  1492115.40
14-i64-d0  0            2  1509988.80
14-i64-d0  0            3  1511766.40
14-i8-d0   0            1  3980511.00
14-i8-d0   0            2  3930953.80
14-i8-d0   0            3  3953959.60
146-i1-d0  0            1  4877551.60
146-i1-d0  0            2  4619632.80
146-i1-d0  0            3  4554049.60
146-i128-d00            1  4506012.40
146-i128-d00            2  4704766.60
146-i128-d00            3  4253668.40
146-i16-d0 0            1  4295465.60
146-i16-d0 0            2  4281451.80
146-i16-d0 0            3  4226864.60
146-i2-d0  0            1  4184656.00
146-i2-d0  0            2  4242689.20
146-i2-d0  0            3  4125385.00
146-i32-d0 0            1  4182829.20
146-i32-d0 0            2  4216907.20
146-i32-d0 0            3  4078771.80
146-i64-d0 0            1  4168712.20
146-i64-d0 0            2  4148176.60
146-i64-d0 0            3  4108586.60
146-i8-d0  0            1  4367477.60
146-i8-d0  0            2  4379463.60
146-i8-d0  0            3  4274894.00
16-i1-d0   0            1  2802749.60
16-i1-d0   0            2  2813481.60
16-i1-d0   0            3  2893741.20
16-i128-d0 0            1  1261270.80
16-i128-d0 0            2  1261174.40
16-i128-d0 0            3  1257394.60
16-i16-d0  0            1  3480243.80
16-i16-d0  0            2  3450922.80
16-i16-d0  0            3  3448834.40
16-i2-d0   0            1  4250989.20
16-i2-d0   0            2  4311530.80
16-i2-d0   0            3  4324514.80
16-i32-d0  0            1  2340414.00
16-i32-d0  0            2  2349633.80
16-i32-d0  0            3  2369833.60
16-i4-d0   0            1  6229855.40
16-i4-d0   0            2  6321329.80
16-i4-d0   0            3  6251455.20
16-i64-d0  0            1  1582639.20
16-i64-d0  0            2  1580397.40
16-i64-d0  0            3  1588480.00
16-i8-d0   0            1  4583314.00
16-i8-d0   0            2  4538116.80
16-i8-d0   0            3  4578387.00
160-i1-d0  0            1  4617807.40
160-i1-d0  0            2  4706228.60
160-i1-d0  0            3  4621205.60
160-i128-d00            1  4552892.20
160-i128-d00            2  4554121.00
160-i128-d00            3  4527465.80
