   Operation      Sample         Ops
1   0            0      609.69
1   0            1      611.97
1   0            2      618.35
5   0            0     3140.32
5   0            1     2938.87
5   0            2     3023.03
12  0            0     5587.31
12  0            1     5896.39
12  0            2     6091.71
21  0            0     7451.65
21  0            1     7312.71
21  0            2     7144.10
30  0            0     8441.83
30  0            1     8762.12
30  0            2     8961.26
48  0            0    12376.59
48  0            1    13095.46
48  0            2    12712.65
79  0            0    17185.36
79  0            1    17666.48
79  0            2    18208.43
110 0            0    19233.16
110 0            1    19674.65
110 0            2    19787.38
141 0            0    19790.38
141 0            1    19640.12
141 0            2    19808.33
