   Operation      Sample         Ops
syst-1   0            1        0.09
syst-1   0            2        0.09
syst-1   0            3        0.10
syst-1   0            4        0.10
syst-1   0            5        0.07
syst-1   0            6        0.08
syst-1   0            7        0.10
elsp-1   0            1        0.26
elsp-1   0            2        0.26
elsp-1   0            3        0.26
elsp-1   0            4        0.26
elsp-1   0            5        0.26
elsp-1   0            6        0.26
elsp-1   0            7        0.26
syst-4   0            1        0.12
syst-4   0            2        0.13
syst-4   0            3        0.14
syst-4   0            4        0.18
syst-4   0            5        0.16
syst-4   0            6        0.15
syst-4   0            7        0.14
elsp-4   0            1        0.21
elsp-4   0            2        0.20
elsp-4   0            3        0.21
elsp-4   0            4        0.21
elsp-4   0            5        0.21
elsp-4   0            6        0.21
elsp-4   0            7        0.20
syst-7   0            1        0.28
syst-7   0            2        0.22
syst-7   0            3        0.23
syst-7   0            4        0.22
syst-7   0            5        0.25
syst-7   0            6        0.29
syst-7   0            7        0.27
elsp-7   0            1        0.21
elsp-7   0            2        0.18
elsp-7   0            3        0.19
elsp-7   0            4        0.21
elsp-7   0            5        0.19
elsp-7   0            6        0.21
elsp-7   0            7        0.21
syst-12  0            1        0.43
syst-12  0            2        0.39
syst-12  0            3        0.38
syst-12  0            4        0.38
syst-12  0            5        0.55
syst-12  0            6        0.39
syst-12  0            7        0.29
elsp-12  0            1        0.20
elsp-12  0            2        0.20
elsp-12  0            3        0.20
elsp-12  0            4        0.19
elsp-12  0            5        0.20
elsp-12  0            6        0.20
elsp-12  0            7        0.20
syst-21  0            1        0.62
syst-21  0            2        0.47
syst-21  0            3        0.40
syst-21  0            4        0.24
syst-21  0            5        0.70
syst-21  0            6        0.50
syst-21  0            7        0.42
elsp-21  0            1        0.19
elsp-21  0            2        0.18
elsp-21  0            3        0.17
elsp-21  0            4        0.15
elsp-21  0            5        0.20
elsp-21  0            6        0.17
elsp-21  0            7        0.18
syst-30  0            1        0.47
syst-30  0            2        0.49
syst-30  0            3        0.73
syst-30  0            4        0.51
syst-30  0            5        0.26
syst-30  0            6        1.16
syst-30  0            7        0.26
elsp-30  0            1        0.15
elsp-30  0            2        0.15
elsp-30  0            3        0.17
elsp-30  0            4        0.17
elsp-30  0            5        0.13
elsp-30  0            6        0.19
elsp-30  0            7        0.13
syst-48  0            1        0.52
syst-48  0            2        0.37
syst-48  0            3        0.50
syst-48  0            4        0.39
syst-48  0            5        0.45
syst-48  0            6        0.41
syst-48  0            7        0.49
elsp-48  0            1        0.14
elsp-48  0            2        0.13
elsp-48  0            3        0.13
elsp-48  0            4        0.13
elsp-48  0            5        0.14
elsp-48  0            6        0.14
elsp-48  0            7        0.14
syst-79  0            1        0.25
syst-79  0            2        0.90
syst-79  0            3        0.21
syst-79  0            4        0.32
syst-79  0            5        0.26
syst-79  0            6        0.31
syst-79  0            7        0.20
elsp-79  0            1        0.11
elsp-79  0            2        0.11
elsp-79  0            3        0.12
elsp-79  0            4        0.12
elsp-79  0            5        0.12
elsp-79  0            6        0.11
elsp-79  0            7        0.13
syst-110 0            1        0.30
syst-110 0            2        0.69
syst-110 0            3        0.31
syst-110 0            4        0.57
syst-110 0            5        0.71
syst-110 0            6        0.38
syst-110 0            7        0.27
elsp-110 0            1        0.11
elsp-110 0            2        0.11
elsp-110 0            3        0.12
elsp-110 0            4        0.11
elsp-110 0            5        0.11
elsp-110 0            6        0.12
elsp-110 0            7        0.11
syst-141 0            1        0.72
syst-141 0            2        0.33
syst-141 0            3        0.49
syst-141 0            4        0.63
syst-141 0            5        0.34
syst-141 0            6        0.32
syst-141 0            7        0.33
elsp-141 0            1        0.11
elsp-141 0            2        0.12
elsp-141 0            3        0.12
elsp-141 0            4        0.11
elsp-141 0            5        0.12
elsp-141 0            6        0.12
elsp-141 0            7        0.13
syst-160 0            1        0.74
syst-160 0            2        0.49
syst-160 0            3        0.56
syst-160 0            4        0.45
syst-160 0            5        1.04
syst-160 0            6        0.59
syst-160 0            7        0.37
elsp-160 0            1        0.11
elsp-160 0            2        0.12
elsp-160 0            3        0.11
elsp-160 0            4        0.12
elsp-160 0            5        0.14
elsp-160 0            6        0.12
elsp-160 0            7        0.12
