   Operation      Sample         Ops
pwrite-single-rewrite-async-System   0            1        2.21
pwrite-single-rewrite-async-System   0            3        2.18
pwrite-single-rewrite-async-System   0            5        2.21
pwrite-single-rewrite-async-System   0            7        2.17
pwrite-single-rewrite-async-System   0            9        2.18
pwrite-single-rewrite-async-System   0           11        2.26
pwrite-single-rewrite-async-System   0           13        2.20
pwrite-single-rewrite-async-Elapsd   0            2        2.33
pwrite-single-rewrite-async-Elapsd   0            4        2.39
pwrite-single-rewrite-async-Elapsd   0            6        2.39
pwrite-single-rewrite-async-Elapsd   0            8        2.39
pwrite-single-rewrite-async-Elapsd   0           10        2.38
pwrite-single-rewrite-async-Elapsd   0           12        2.38
pwrite-single-rewrite-async-Elapsd   0           14        2.39
