   Operation      Sample         Ops
WriteScore   0            1    11051.00
WriteScore   0            1      563.00
WriteScore   0            1      428.00
WriteScore   0            1      398.00
WriteScore   0            1      379.00
WriteScore   0            1      366.00
WriteScore   0            1      347.00
ReadScore    0            1   618639.00
ReadScore    0            1   421735.00
ReadScore    0            1   370585.00
ReadScore    0            1   347150.00
ReadScore    0            1   334967.00
ReadScore    0            1   321237.00
ReadScore    0            1   311796.00
