   Operation      Sample         Ops
webproxy-1   0            1    26831.60
webproxy-1   0            2    26683.05
webproxy-1   0            3    27051.35
webproxy-78  0            1    68097.59
webproxy-78  0            2    66062.91
webproxy-78  0            3    63957.03
webproxy-117 0            1    58498.76
webproxy-117 0            2    55874.21
webproxy-117 0            3    56480.25
webproxy-160 0            1    57664.82
webproxy-160 0            2    55025.06
webproxy-160 0            3    62992.52
