   Operation      Sample         Ops
1   0            1    39464.34
1   0            2    39705.40
1   0            3    39452.76
1   0            4    39446.53
1   0            5    39513.18
1   0            6    39583.32
1   0            7    39593.33
1   0            8    39647.78
1   0            9    39663.32
1   0           10    39659.68
   Operation      Sample         Ops
1   0            1    44021.60
1   0            2    43956.36
1   0            3    43920.68
1   0            4    44009.88
1   0            5    44088.15
1   0            6    44100.87
1   0            7    44044.95
1   0            8    44025.89
1   0            9    44000.73
1   0           10    43901.81
