   Operation      Sample         Ops
commit   0       4.9290       78.70
commit   0      13.9387      114.60
commit   0      22.7530      102.70
commit   0      31.6500       78.80
commit   0      44.1037       72.80
commit   0      56.0063       78.80
commit   0      69.1014      114.70
commit   0      80.3632      108.70
commit   0      88.9314       60.80
commit   0      97.9357       54.80
commit   0     107.2162       60.80
commit   0     121.9391      102.70
commit   0     138.4176      180.60
read     0      58.7631      121.60
read     0      58.7632      121.70
read     0      58.7632      175.10
read     0      58.7632      314.20
read     0      58.7632      121.70
read     0      58.7632      121.60
read     0      58.7632      346.50
read     0      58.7632      121.70
read     0      58.7632      121.70
read     0      58.7632      129.30
read     0      58.7632      129.30
read     0      58.7632      121.60
read     0      58.7631      121.70
read     0      58.7632      121.70
read     0      58.7631      125.40
read     0      58.7632      121.70
read     0     100.3133      151.90
read     0     100.3133      157.20
read     0     100.3133      151.90
read     0     100.3133      151.90
read     0     100.3133      151.90
read     0     100.3133      157.20
read     0     100.3133      151.90
read     0     100.3133      151.90
read     0     100.3133      151.90
read     0     100.3133      151.90
read     0     100.3133      151.90
read     0     100.3133      151.90
read     0     100.3133      165.70
read     0     100.3133      151.90
read     0     100.3133      151.90
read     0     100.3133      151.90
read     0     124.4421       69.50
read     0     124.4421      242.00
read     0     124.4421      162.40
read     0     124.4421       69.50
read     0     124.4421       69.50
read     0     124.4421       69.50
read     0     124.4421       69.50
read     0     124.4421       69.50
read     0     124.4421      162.40
read     0     124.4421       69.50
read     0     124.4422      208.80
read     0     124.4422       69.50
read     0     124.4422       69.50
read     0     124.4422       69.50
read     0     124.4422       69.50
read     0     124.4422       69.50
read     0     133.8469      102.10
read     0     133.8469       72.20
read     0     133.8469       72.20
read     0     133.8469      117.20
read     0     133.8469       72.30
read     0     133.8469       72.20
read     0     133.8469       72.20
read     0     133.8469       72.20
read     0     133.8469       72.20
read     0     133.8469       72.20
read     0     133.8469       72.20
read     0     133.8469       72.20
read     0     133.8469       72.20
read     0     133.8469      121.80
read     0     133.8469       72.20
read     0     133.8469       72.20
read     0     136.3646       56.00
read     0     136.3647       55.90
read     0     136.3648       63.30
read     0     136.3648       63.30
read     0     136.3648       55.90
read     0     136.3648       55.90
read     0     136.3648       55.90
read     0     136.3648       55.90
read     0     136.3649       55.80
read     0     136.3649       55.80
read     0     136.3649       55.90
read     0     136.3649       55.80
read     0     136.3649       55.90
read     0     136.3649       81.10
read     0     136.3649       77.90
read     0     136.3649       55.90
read     0     137.0008       59.10
read     0     137.0009       58.80
read     0     137.0011       58.70
read     0     137.0011       58.70
read     0     137.0013       58.30
read     0     137.0013       58.30
read     0     137.0013       58.30
read     0     137.0013       58.30
read     0     137.0014       58.10
read     0     137.0014       58.20
read     0     137.0014       58.30
read     0     137.0014       58.20
read     0     137.0014       58.30
read     0     137.0014       58.30
read     0     137.0014       58.30
read     0     137.0014       58.20
read     0     137.2359       26.40
read     0     137.2365       26.40
read     0     137.2377       26.20
read     0     137.2377       26.20
read     0     137.2389       26.00
read     0     137.2389       26.00
read     0     137.2389       26.00
read     0     137.2389       26.00
read     0     137.2389       26.00
read     0     137.2389       26.00
read     0     137.2389       26.00
read     0     137.2389       26.00
read     0     137.2389       25.90
read     0     137.2389       25.90
read     0     137.2389       25.90
read     0     137.2389       25.90
read     0     137.3069       19.50
read     0     137.3072       17.20
read     0     137.3077       17.20
read     0     137.3077       18.50
read     0     137.3085       15.20
read     0     137.3085       15.20
read     0     137.3085       15.20
read     0     137.3086       15.20
read     0     137.3087       15.10
read     0     137.3087       15.10
read     0     137.3087       15.10
read     0     137.3087       15.10
read     0     137.3088       15.10
read     0     137.3088       15.10
read     0     137.3088       15.10
read     0     137.3088       15.10
read     0     137.3444        7.90
read     0     137.3475        3.40
read     0     137.3518        3.40
read     0     137.3518        6.20
read     0     137.3570        0.10
read     0     137.3570        0.10
read     0     137.3570        0.10
read     0     137.3570        0.10
read     0     137.3570        0.10
read     0     137.3570        0.10
read     0     137.3570        0.00
read     0     137.3570        0.00
read     0     137.3570        0.00
read     0     137.3570        0.10
read     0     137.3570        0.10
read     0     137.3570        0.00
read     0     137.3736        0.00
read     0     137.3871        0.00
read     0     137.3936        0.10
read     0     137.3980        0.00
read     0     137.3980        0.00
read     0     137.4025        0.00
read     0     137.4025        0.00
read     0     137.4025        0.00
read     0     137.4033        0.10
read     0     137.4053        0.00
read     0     137.4053        0.00
read     0     137.4053        0.00
read     0     137.4053        0.00
read     0     137.4053        0.10
read     0     137.4053        0.00
read     0     137.4053        0.00
read     0     137.4053        0.10
read     0     137.4242        0.00
read     0     137.4290        0.00
read     0     137.4356        2.40
read     0     137.4480        0.00
read     0     137.4480        0.00
read     0     137.4480        0.00
read     0     137.4480        0.00
read     0     137.4480        0.00
read     0     137.4541        0.00
read     0     137.4621        0.00
read     0     137.4621        0.00
read     0     137.4621        0.10
read     0     137.4621        0.10
read     0     137.4621        0.00
read     0     137.4621        0.00
read     0     137.4621        0.00
read     0     137.4621        0.00
read     0     137.4663        0.00
read     0     137.4841        0.10
