   Operation         Lat
50.0th-qrtle-1   0        12.00
75.0th-qrtle-1   0        14.00
90.0th-qrtle-1   0        15.00
95.0th-qrtle-1   0        16.00
99.0th-qrtle-1   0        19.00
99.5th-qrtle-1   0        23.00
99.9th-qrtle-1   0        54.00
50.0th-qrtle-2   0        14.00
75.0th-qrtle-2   0        15.00
90.0th-qrtle-2   0        16.00
95.0th-qrtle-2   0        17.00
99.0th-qrtle-2   0        20.00
99.5th-qrtle-2   0        25.00
99.9th-qrtle-2   0       104.00
50.0th-qrtle-4   0        17.00
75.0th-qrtle-4   0        20.00
90.0th-qrtle-4   0        23.00
95.0th-qrtle-4   0        24.00
99.0th-qrtle-4   0        28.00
99.5th-qrtle-4   0        41.00
99.9th-qrtle-4   0       939.00
50.0th-qrtle-8   0        23.00
75.0th-qrtle-8   0        30.00
90.0th-qrtle-8   0        34.00
95.0th-qrtle-8   0        36.00
99.0th-qrtle-8   0        41.00
99.5th-qrtle-8   0        46.00
99.9th-qrtle-8   0       115.00
50.0th-qrtle-16  0        39.00
75.0th-qrtle-16  0        52.00
90.0th-qrtle-16  0        61.00
95.0th-qrtle-16  0        66.00
99.0th-qrtle-16  0        79.00
99.5th-qrtle-16  0       103.00
99.9th-qrtle-16  0      2332.00
50.0th-qrtle-32  0        72.00
75.0th-qrtle-32  0       103.00
90.0th-qrtle-32  0       123.00
95.0th-qrtle-32  0       135.00
99.0th-qrtle-32  0       157.00
99.5th-qrtle-32  0       177.00
99.9th-qrtle-32  0      4136.00
50.0th-qrtle-39  0        94.00
75.0th-qrtle-39  0       135.00
90.0th-qrtle-39  0       165.00
95.0th-qrtle-39  0       181.00
99.0th-qrtle-39  0      3764.00
99.5th-qrtle-39  0      8560.00
99.9th-qrtle-39  0     16800.00
