   Operation      Sample         Ops
sembench-futex-2       0            1   382116.00
sembench-futex-5       0            1   333212.00
sembench-futex-8       0            1   329203.00
sembench-futex-12      0            1   350234.00
sembench-futex-21      0            1   350377.00
sembench-futex-30      0            1   298798.00
sembench-futex-48      0            1   261455.00
sembench-futex-79      0            1   214554.00
sembench-futex-110     0            1   234819.00
sembench-futex-141     0            1   201180.00
sembench-futex-172     0            1   207365.00
sembench-futex-203     0            1   218948.00
sembench-futex-234     0            1   204409.00
sembench-futex-265     0            1   199486.00
sembench-futex-296     0            1   198904.00
sembench-futex-327     0            1   199641.00
sembench-futex-358     0            1   201493.00
sembench-futex-389     0            1   199625.00
sembench-futex-420     0            1   199716.00
sembench-futex-451     0            1   199468.00
sembench-futex-482     0            1   199077.00
sembench-futex-513     0            1   200377.00
sembench-futex-544     0            1   199869.00
sembench-futex-575     0            1   197945.00
sembench-futex-606     0            1   198687.00
sembench-futex-637     0            1   198431.00
sembench-futex-668     0            1   201169.00
sembench-futex-699     0            1   198464.00
sembench-futex-730     0            1   198998.00
sembench-futex-761     0            1   200256.00
sembench-futex-792     0            1   201171.00
sembench-futex-823     0            1   202004.00
sembench-futex-854     0            1   198848.00
sembench-futex-885     0            1   201105.00
sembench-futex-916     0            1   200271.00
sembench-futex-947     0            1   200635.00
sembench-futex-978     0            1   201629.00
sembench-futex-1009    0            1   200071.00
sembench-futex-1040    0            1   201833.00
sembench-futex-1071    0            1   202195.00
sembench-futex-1102    0            1   201339.00
sembench-futex-1133    0            1   201573.00
sembench-futex-1164    0            1   202637.00
sembench-futex-1195    0            1   202704.00
sembench-futex-1226    0            1   202632.00
sembench-futex-1257    0            1   202728.00
sembench-futex-1288    0            1   203723.00
sembench-futex-1319    0            1   201364.00
sembench-futex-1350    0            1   203716.00
sembench-futex-1381    0            1   203005.00
sembench-futex-1412    0            1   201361.00
sembench-futex-1443    0            1   203579.00
sembench-futex-1474    0            1   204135.00
sembench-futex-1505    0            1   201629.00
sembench-futex-1536    0            1   201529.00
sembench-futex-1567    0            1   200602.00
sembench-futex-1598    0            1   203099.00
sembench-futex-1629    0            1   203040.00
sembench-futex-1660    0            1   202645.00
sembench-futex-1691    0            1   202594.00
sembench-futex-1722    0            1   203361.00
sembench-futex-1753    0            1   203458.00
sembench-futex-1784    0            1   203665.00
sembench-futex-1815    0            1   203399.00
sembench-futex-1846    0            1   200552.00
sembench-futex-1877    0            1   201099.00
sembench-futex-1908    0            1   203196.00
sembench-futex-1939    0            1   203408.00
sembench-futex-1970    0            1   203982.00
sembench-futex-2001    0            1   203441.00
sembench-futex-2032    0            1   199567.00
sembench-futex-2063    0            1   202421.00
sembench-futex-2094    0            1   200099.00
sembench-futex-2125    0            1   203060.00
sembench-futex-2156    0            1   200073.00
sembench-futex-2187    0            1   200818.00
sembench-futex-2218    0            1   202662.00
sembench-futex-2249    0            1   199828.00
sembench-futex-2280    0            1   202330.00
sembench-futex-2311    0            1   202530.00
sembench-futex-2342    0            1   199640.00
sembench-futex-2373    0            1   200253.00
sembench-futex-2404    0            1   202449.00
sembench-futex-2435    0            1   202696.00
sembench-futex-2466    0            1   202807.00
sembench-futex-2497    0            1   199575.00
sembench-futex-2528    0            1   199964.00
sembench-futex-2559    0            1   201862.00
sembench-futex-2590    0            1   199473.00
sembench-futex-2621    0            1   199796.00
sembench-futex-2652    0            1   197838.00
sembench-futex-2683    0            1   201535.00
sembench-futex-2714    0            1   199591.00
sembench-futex-2745    0            1   199625.00
sembench-futex-2776    0            1   199605.00
sembench-futex-2807    0            1   199499.00
sembench-futex-2838    0            1   201331.00
sembench-futex-2869    0            1   201482.00
sembench-futex-2900    0            1   199365.00
sembench-futex-2931    0            1   201714.00
sembench-futex-2962    0            1   199614.00
sembench-futex-2993    0            1   200663.00
sembench-futex-3024    0            1   199079.00
sembench-futex-3055    0            1   199618.00
sembench-futex-3086    0            1   201123.00
sembench-futex-3117    0            1   198752.00
sembench-futex-3148    0            1   197023.00
sembench-futex-3179    0            1   200855.00
sembench-futex-3210    0            1   201395.00
sembench-futex-3241    0            1   197005.00
sembench-futex-3272    0            1   198978.00
sembench-futex-3303    0            1   199517.00
sembench-futex-3334    0            1   198847.00
sembench-futex-3365    0            1   196839.00
sembench-futex-3396    0            1   198827.00
sembench-futex-3427    0            1   199034.00
sembench-futex-3458    0            1   200649.00
sembench-futex-3489    0            1   198365.00
sembench-futex-3520    0            1   198293.00
sembench-futex-3551    0            1   198670.00
sembench-futex-3582    0            1   197603.00
sembench-futex-3613    0            1   199041.00
sembench-futex-3644    0            1   200821.00
sembench-futex-3675    0            1   198501.00
sembench-futex-3706    0            1   198086.00
sembench-futex-3737    0            1   198397.00
sembench-futex-3768    0            1   199876.00
sembench-futex-3799    0            1   200201.00
sembench-futex-3830    0            1   197620.00
sembench-futex-3861    0            1   197089.00
sembench-futex-3892    0            1   198725.00
sembench-futex-3923    0            1   197959.00
sembench-futex-3954    0            1   197336.00
sembench-futex-3985    0            1   199979.00
sembench-futex-4016    0            1   198624.00
sembench-futex-4047    0            1   199508.00
sembench-futex-4078    0            1   198068.00
sembench-futex-4109    0            1   197402.00
sembench-futex-4140    0            1   199372.00
sembench-futex-4171    0            1   198083.00
sembench-futex-4202    0            1   199482.00
sembench-futex-4233    0            1   198039.00
sembench-futex-4264    0            1   197671.00
sembench-futex-4295    0            1   197569.00
sembench-futex-4326    0            1   199115.00
sembench-futex-4357    0            1   199411.00
sembench-futex-4388    0            1   197736.00
sembench-futex-4419    0            1   199142.00
sembench-futex-4450    0            1   197231.00
sembench-futex-4481    0            1   195757.00
sembench-futex-4512    0            1   199373.00
sembench-futex-4543    0            1   197070.00
sembench-futex-4574    0            1   199145.00
sembench-futex-4605    0            1   198911.00
sembench-futex-4636    0            1   196975.00
sembench-futex-4667    0            1   196179.00
sembench-futex-4698    0            1   197094.00
sembench-futex-4729    0            1   197039.00
sembench-futex-4760    0            1   197599.00
sembench-futex-4791    0            1   196921.00
sembench-futex-4822    0            1   193622.00
sembench-futex-4853    0            1   196465.00
sembench-futex-4884    0            1   195362.00
sembench-futex-4915    0            1   197318.00
sembench-futex-4946    0            1   194999.00
sembench-futex-4977    0            1   198355.00
sembench-futex-5008    0            1   199485.00
sembench-futex-5039    0            1   196331.00
sembench-futex-5070    0            1   196841.00
sembench-futex-5101    0            1   196535.00
sembench-futex-5132    0            1   198496.00
sembench-futex-5163    0            1   196853.00
sembench-futex-5194    0            1   197879.00
sembench-futex-5225    0            1   194659.00
sembench-futex-5256    0            1   195610.00
sembench-futex-5287    0            1   195887.00
sembench-futex-5318    0            1   195769.00
sembench-futex-5349    0            1   196903.00
sembench-futex-5380    0            1   196268.00
sembench-futex-5411    0            1   195814.00
sembench-futex-5442    0            1   194615.00
sembench-futex-5473    0            1   198131.00
sembench-futex-5504    0            1   195896.00
sembench-futex-5535    0            1   196151.00
sembench-futex-5566    0            1   196429.00
sembench-futex-5597    0            1   197630.00
sembench-futex-5628    0            1   195691.00
sembench-futex-5659    0            1   195768.00
sembench-futex-5690    0            1   197468.00
sembench-futex-5721    0            1   197649.00
sembench-futex-5752    0            1   195951.00
sembench-futex-5783    0            1   195276.00
sembench-futex-5814    0            1   193841.00
sembench-futex-5845    0            1   197172.00
sembench-futex-5876    0            1   197078.00
sembench-futex-5907    0            1   196184.00
sembench-futex-5938    0            1   194873.00
sembench-futex-5969    0            1   194158.00
sembench-futex-6000    0            1   195374.00
sembench-futex-6031    0            1   195277.00
sembench-futex-6062    0            1   196895.00
sembench-futex-6093    0            1   197200.00
sembench-futex-6124    0            1   195941.00
sembench-futex-6155    0            1   195249.00
sembench-futex-6186    0            1   195826.00
sembench-futex-6217    0            1   196865.00
sembench-futex-6248    0            1   195275.00
sembench-futex-6279    0            1   195607.00
sembench-futex-6310    0            1   194530.00
sembench-futex-6341    0            1   196917.00
sembench-futex-6372    0            1   193427.00
sembench-futex-6403    0            1   196346.00
sembench-futex-6434    0            1   196631.00
sembench-futex-6465    0            1   195293.00
sembench-futex-6496    0            1   196287.00
sembench-futex-6527    0            1   194540.00
sembench-futex-6558    0            1   196204.00
sembench-futex-6589    0            1   195325.00
sembench-futex-6620    0            1   195033.00
sembench-futex-6651    0            1   195284.00
sembench-futex-6682    0            1   192940.00
sembench-futex-6713    0            1   194340.00
sembench-futex-6744    0            1   192681.00
sembench-futex-6775    0            1   196158.00
sembench-futex-6806    0            1   194564.00
sembench-futex-6837    0            1   195850.00
sembench-futex-6868    0            1   196167.00
sembench-futex-6899    0            1   195989.00
sembench-futex-6930    0            1   194936.00
sembench-futex-6961    0            1   195198.00
sembench-futex-6992    0            1   193270.00
sembench-futex-7023    0            1   195249.00
sembench-futex-7054    0            1   195669.00
sembench-futex-7085    0            1   195997.00
