   Operation      Sample         Ops
14   0            1       58.79
14   0            2       58.59
14   0            3       57.89
14   0            4       58.45
14   0            5       57.58
14   0            6       58.14
14   0            7       57.52
14   0            8       58.56
14   0            9       57.97
14   0           10       57.72
100  0            1      651.60
100  0            2      651.97
100  0            3      652.14
100  0            4      651.12
100  0            5      651.12
100  0            6      650.73
100  0            7      651.08
100  0            8      652.04
100  0            9      651.68
100  0           10      651.54
300  0            1     1688.63
300  0            2     1688.06
300  0            3     1691.39
300  0            4     1687.75
300  0            5     1691.08
300  0            6     1688.13
300  0            7     1685.22
300  0            8     1689.30
300  0            9     1686.79
300  0           10     1691.42
500  0            1     2621.46
500  0            2     2620.86
500  0            3     2618.72
500  0            4     2617.02
500  0            5     2616.46
500  0            6     2615.48
500  0            7     2618.85
500  0            8     2626.09
500  0            9     2620.86
500  0           10     2624.91
850  0            1     3974.79
850  0            2     3986.38
850  0            3     3994.08
850  0            4     4003.33
850  0            5     3991.75
850  0            6     3988.66
850  0            7     3984.42
850  0            8     3975.22
850  0            9     3991.85
850  0           10     3996.32
