   Operation      Sample         Ops
14   0            1       59.03
14   0            2       58.53
14   0            3       53.29
14   0            4       60.01
14   0            5       52.24
14   0            6       54.61
14   0            7       58.02
14   0            8       58.16
14   0            9       58.11
14   0           10       58.48
100  0            1      691.88
100  0            2      692.34
100  0            3      690.20
100  0            4      687.87
100  0            5      691.70
100  0            6      689.94
100  0            7      692.93
100  0            8      692.15
100  0            9      688.08
100  0           10      691.26
300  0            1     1451.82
300  0            2     1428.27
300  0            3     1409.98
300  0            4     1412.75
300  0            5     1419.40
300  0            6     1409.77
300  0            7     1503.25
300  0            8     1422.87
300  0            9     1610.54
300  0           10     1413.51
500  0            1     2512.71
500  0            2     2624.03
500  0            3     2616.88
500  0            4     2613.44
500  0            5     2611.77
500  0            6     2612.78
500  0            7     2613.75
500  0            8     2618.86
500  0            9     2611.24
500  0           10     2622.19
850  0            1     3998.23
850  0            2     3988.67
850  0            3     3985.60
850  0            4     3995.66
850  0            5     4000.55
850  0            6     3987.38
850  0            7     4001.55
850  0            8     3991.73
850  0            9     3982.01
850  0           10     3982.37
   Operation      SampleRound-Trip-Time
   Operation      Sample         Ops
14   0            1       14.91
14   0            2       15.10
14   0            3       15.09
14   0            4       13.62
14   0            5       13.71
14   0            6       14.62
14   0            7       15.02
14   0            8       13.88
14   0            9       13.85
14   0           10       13.60
100  0            1      102.84
100  0            2      106.82
100  0            3      105.17
100  0            4      107.42
100  0            5      106.81
100  0            6      109.31
100  0            7      108.27
100  0            8      109.24
100  0            9      107.11
100  0           10      107.22
300  0            1      310.70
300  0            2      320.81
300  0            3      319.36
300  0            4      288.98
300  0            5      311.93
300  0            6      300.13
300  0            7      320.43
300  0            8      292.06
300  0            9      308.06
300  0           10      321.07
500  0            1      479.87
500  0            2      481.83
500  0            3      483.04
500  0            4      494.78
500  0            5      527.87
500  0            6      529.36
500  0            7      518.76
500  0            8      486.71
500  0            9      483.51
500  0           10      529.88
850  0            1      823.13
850  0            2      894.75
850  0            3      889.77
850  0            4      810.14
850  0            5      898.33
850  0            6      895.88
850  0            7      890.26
850  0            8      885.28
850  0            9      846.36
850  0           10      890.53
   Operation      SampleRound-Trip-Time
