   Operation      Sample         Ops
Time   0            1      110.00
Time   0            2       79.00
Time   0            3       71.00
Time   0            4       70.00
Time   0            5       72.00
Time   0            6       68.00
Time   0            7       67.00
Time   0            8       67.00
Time   0            9       69.00
Time   0           10       65.00
Time   0           11       68.00
Time   0           12       67.00
Time   0           13       64.00
Time   0           14       66.00
Time   0           15       65.00
Time   0           16       69.00
Time   0           17       69.00
Time   0           18       64.00
Time   0           19       64.00
Time   0           20       64.00
Time   0           21       63.00
Time   0           22       64.00
Time   0           23       64.00
Time   0           24       65.00
Time   0           25       64.00
Time   0           26       64.00
Time   0           27       63.00
Time   0           28       64.00
Time   0           29       65.00
Time   0           30       62.00
Time   0           31       63.00
Time   0           32       62.00
Time   0           33       68.00
Time   0           34       63.00
Time   0           35       63.00
Time   0           36       64.00
Time   0           37       62.00
Time   0           38       62.00
Time   0           39       63.00
Time   0           40       62.00
Time   0           41       62.00
Time   0           42       61.00
Time   0           43       62.00
Time   0           44       64.00
Time   0           45       65.00
Time   0           46       64.00
Time   0           47      100.00
Time   0           48       65.00
Time   0           49       68.00
Time   0           50       64.00
Time   0           51       62.00
Time   0           52       62.00
Time   0           53       63.00
Time   0           54       65.00
Time   0           55       66.00
Time   0           56       67.00
Time   0           57       64.00
Time   0           58       63.00
Time   0           59       64.00
Time   0           60       65.00
Time   0           61       64.00
Time   0           62       64.00
Time   0           63       63.00
Time   0           64       66.00
Time   0           65       68.00
Time   0           66       65.00
Time   0           67       66.00
Time   0           68       65.00
Time   0           69       64.00
Time   0           70       63.00
Time   0           71       92.00
Time   0           72       63.00
Time   0           73       64.00
Time   0           74       61.00
Time   0           75       63.00
Time   0           76       64.00
Time   0           77       64.00
Time   0           78       65.00
Time   0           79       65.00
Time   0           80       65.00
Time   0           81       69.00
Time   0           82       64.00
Time   0           83       64.00
Time   0           84       65.00
Time   0           85       62.00
Time   0           86       64.00
Time   0           87       64.00
Time   0           88       63.00
Time   0           89       65.00
Time   0           90       65.00
