   Operation      Sample         Ops
WriteScore   0            1     3626.00
WriteScore   0            1      423.00
WriteScore   0            1      330.00
WriteScore   0            1      291.00
WriteScore   0            1      279.00
WriteScore   0            1      278.00
WriteScore   0            1      273.00
ReadScore    0            1  1027952.00
ReadScore    0            1   696801.00
ReadScore    0            1   599861.00
ReadScore    0            1   561945.00
ReadScore    0            1   544483.00
ReadScore    0            1   532989.00
ReadScore    0            1   523075.00
