   Operation      Sample         Ops
1   0            1        0.89
1   0            2        0.93
1   0            3        0.96
4   0            1        1.95
4   0            2        1.93
4   0            3        1.98
7   0            1        3.33
7   0            2        3.39
7   0            3        3.34
12  0            1        5.39
12  0            2        5.40
12  0            3        5.44
21  0            1        8.99
21  0            2        9.00
21  0            3        8.87
30  0            1       12.65
30  0            2       12.87
30  0            3       12.35
48  0            1       21.73
48  0            2       20.91
48  0            3       20.56
79  0            1       35.71
79  0            2       35.20
79  0            3       36.06
110 0            1       49.30
110 0            2       51.39
110 0            3       50.42
141 0            1       60.12
141 0            2       63.01
141 0            3       63.43
172 0            1       74.76
172 0            2       74.90
172 0            3       73.81
203 0            1       87.99
203 0            2       87.68
203 0            3       67.17
234 0            1      101.84
234 0            2      101.64
234 0            3      102.73
265 0            1      116.24
265 0            2      116.44
265 0            3      115.30
296 0            1      126.24
296 0            2      129.58
296 0            3      128.03
