   Operation      Sample         Ops
1   0           12       56.75
1   0           16       52.50
1   0           20       51.50
1   0           24       57.00
1   0           28       46.50
1   0           32       56.50
1   0           36       49.75
1   0           40       50.50
1   0           44       59.00
1   0           48       45.75
1   0           52       58.00
1   0           56       51.25
1   0           60       54.75
1   0           64       50.50
1   0           68       54.00
1   0           72       49.75
1   0           76       58.25
1   0           80       58.75
1   0           84       56.50
1   0           88       44.25
1   0           92       46.25
1   0           96       50.50
1   0          100       59.50
1   0          104       48.75
1   0          108       64.25
1   0          112       56.75
1   0          116       56.50
1   0          120       59.00
1   0          124       39.75
1   0          128       57.50
1   0          132       59.75
1   0          136       46.00
1   0          140       46.25
1   0          144       53.75
1   0          148       52.00
1   0          152       50.75
1   0          156       51.25
1   0          160       57.25
1   0          164       52.50
1   0          168       54.75
1   0          172       56.50
1   0          176       55.75
1   0          180       48.50
1   0          184       56.75
1   0          188       58.75
1   0          192       52.75
1   0          196       65.75
1   0          200       55.50
1   0          204       49.50
1   0          208       51.75
1   0          212       50.75
1   0          216       61.00
1   0          220       57.50
1   0          224       56.75
1   0          228       50.00
1   0          232       57.25
1   0          236       55.50
1   0          240       50.50
1   0          244       58.00
1   0          248       50.00
1   0          252       60.50
1   0          256       55.50
1   0          260       60.25
1   0          264       54.00
1   0          268       52.00
1   0          272       57.00
1   0          276       53.25
1   0          280       54.25
1   0          284       50.25
1   0          288       56.25
1   0          292       52.00
1   0          296       60.00
5   0           12       61.25
5   0           16       25.50
5   0           20       21.25
5   0           24       22.00
5   0           28       21.75
5   0           32       22.75
5   0           36       22.75
5   0           40       18.00
5   0           44       23.50
5   0           48       24.25
5   0           52       17.25
5   0           56       24.00
5   0           60       23.25
5   0           64       25.25
5   0           68       19.75
5   0           72       20.25
5   0           76       23.75
5   0           80       21.00
5   0           84       21.50
5   0           88       23.00
5   0           92       21.25
5   0           96       23.75
5   0          100       19.25
5   0          104       22.50
5   0          108       20.25
5   0          112       22.00
5   0          116       24.75
5   0          120       19.75
5   0          124       24.50
5   0          128       26.25
5   0          132       27.75
5   0          136       30.50
5   0          140       30.50
5   0          144       30.00
5   0          148       31.25
5   0          152       33.25
5   0          156       31.00
5   0          160       26.75
5   0          164       29.00
5   0          168       29.25
5   0          172       22.75
5   0          176       28.50
5   0          180       29.75
5   0          184       27.25
5   0          188       32.25
5   0          192       31.00
5   0          196       24.50
5   0          200       29.75
5   0          204       34.00
5   0          208       25.50
5   0          212       27.50
5   0          216       30.50
5   0          220       30.50
5   0          224       28.25
5   0          228       29.75
5   0          232       26.75
5   0          236       33.75
5   0          240       26.25
5   0          244       25.25
5   0          248       28.75
5   0          252       29.75
5   0          256       28.25
5   0          260       32.25
5   0          264       33.00
5   0          268       32.00
5   0          272       33.00
5   0          276       27.25
5   0          280       25.50
5   0          284       30.00
5   0          288       21.25
5   0          292       26.25
5   0          296       30.50
12  0           12       85.25
12  0           16       89.50
12  0           20       82.50
12  0           24      103.25
12  0           28       77.00
12  0           32       96.00
12  0           36       94.00
12  0           40       83.50
12  0           44       99.50
12  0           48       92.25
12  0           52       95.75
12  0           56      104.25
12  0           60       94.75
12  0           64       77.50
12  0           68       98.25
12  0           72       89.50
12  0           76       91.00
12  0           80       97.75
12  0           84       95.00
12  0           88      103.00
12  0           92      105.00
12  0           96       93.00
12  0          100       79.25
12  0          104       63.00
12  0          108      108.75
12  0          112       92.25
12  0          116       95.00
12  0          120      102.00
12  0          124       89.50
12  0          128       89.75
12  0          132      102.75
12  0          136       95.75
12  0          140      104.50
12  0          144       98.25
12  0          148      109.50
12  0          152      112.00
12  0          156       69.00
12  0          160       89.75
12  0          164      103.50
12  0          168       94.75
12  0          172       83.50
12  0          176       87.00
12  0          180       88.25
12  0          184      114.50
12  0          188       98.00
12  0          192       84.25
12  0          196      107.25
12  0          200       82.25
12  0          204       80.00
12  0          208      107.50
12  0          212       81.50
12  0          216      102.00
12  0          220       93.50
12  0          224       88.25
12  0          228      100.50
12  0          232       91.75
12  0          236       85.75
