   Operation      Sample         Ops
commit   0       5.6131       66.80
commit   0      15.3803       54.80
commit   0      24.9379       60.80
commit   0      40.8706     2126.70
commit   0      50.3885       48.80
commit   0      59.9065       66.80
commit   0      76.0472     2414.10
commit   0      85.5172       48.80
commit   0      94.9718       60.80
commit   0     104.4368       67.00
commit   0     120.0693      515.90
commit   0     129.4085       49.00
commit   0     138.8195       72.80
commit   0     151.3503      390.10
commit   0     164.5565     1252.40
commit   0     174.0185       60.80
commit   0     183.2168       48.80
commit   0     198.9481     2767.40
commit   0     208.3083       54.80
commit   0     218.7232      845.20
commit   0     233.2930      809.30
commit   0     242.5811       66.80
commit   0     251.8276       36.80
commit   0     267.9481     2018.90
commit   0     277.6779       48.80
commit   0     287.6988      318.30
commit   0     302.1928     1659.60
commit   0     311.4533       54.80
commit   0     320.7796       54.80
commit   0     336.5327     2067.00
commit   0     346.3986       54.80
commit   0     355.9653       60.80
commit   0     365.0889       54.80
commit   0     381.2185      791.30
commit   0     390.7972       84.70
commit   0     400.0817       48.80
commit   0     415.9986     2270.40
commit   0     425.7540      162.60
commit   0     435.0840       42.80
commit   0     444.6538       60.80
commit   0     461.2903     1911.10
commit   0     470.5943       60.70
commit   0     480.1240       48.80
commit   0     496.5222     1084.70
commit   0     505.6468       42.80
commit   0     515.0099       60.80
commit   0     524.5499       48.80
commit   0     540.1768     2408.10
commit   0     549.5847       54.80
commit   0     559.0647       54.80
commit   0     575.2330     2210.50
commit   0     584.9705       54.80
commit   0     594.1459       48.80
commit   0     603.4460       54.80
commit   0     618.9380     2462.00
commit   0     628.2800       60.80
commit   0     637.4606       72.70
commit   0     653.0841     2138.60
commit   0     662.6106       42.80
commit   0     671.7813       60.80
commit   0     680.9219       48.80
commit   0     696.6734     3042.80
commit   0     706.1554       54.80
commit   0     715.7363       60.80
commit   0     731.6802     1204.50
commit   0     741.4685       49.00
commit   0     750.7657       54.80
commit   0     760.2606       54.80
commit   0     776.0431     2779.40
commit   0     785.1338       48.80
commit   0     794.4938       60.80
commit   0     810.4050     2078.70
commit   0     819.6871       42.80
commit   0     828.9825       48.80
commit   0     838.7616       73.00
commit   0     854.4093     2270.40
commit   0     863.9849       60.80
commit   0     873.5604       60.80
commit   0     889.8488     3030.70
commit   0     899.1005       66.80
commit   0     908.6484       48.80
commit   0     919.6993      539.80
commit   0     934.2771     1545.80
commit   0     943.6633       96.70
commit   0     953.0277       48.80
commit   0     969.4327      994.90
commit   0     978.9992       54.80
commit   0     988.4282       66.80
commit   0    1004.6237     2420.30
commit   0    1014.3048      210.50
commit   0    1027.2398      180.50
commit   0    1043.1867     2563.80
commit   0    1052.6125       54.80
commit   0    1062.0626       54.80
commit   0    1071.6751      120.90
commit   0    1087.4245     1497.90
commit   0    1096.5031       48.80
commit   0    1106.2286       48.80
commit   0    1122.6485     2372.20
commit   0    1131.9668       54.80
commit   0    1141.2371       48.80
commit   0    1153.6413      414.10
commit   0    1167.4826     1953.00
commit   0    1178.6949      551.80
commit   0    1188.1889       60.80
commit   0    1197.6004       60.70
commit   0    1213.3886     1336.30
commit   0    1222.7158       48.80
commit   0    1231.9771       54.80
commit   0    1247.3043     2180.50
commit   0    1256.8359      210.50
commit   0    1266.1181       60.80
commit   0    1281.2447     1318.30
commit   0    1291.9401      450.00
commit   0    1301.1386       48.80
commit   0    1312.6184     1959.00
commit   0    1324.4345      935.00
commit   0    1334.1240       48.80
commit   0    1343.3164       61.00
commit   0    1360.0837      533.80
commit   0    1369.7911       48.80
commit   0    1379.1821       60.80
commit   0    1395.1070     1677.50
commit   0    1404.3674       66.80
commit   0    1417.9213      965.00
commit   0    1427.7806      228.40
commit   0    1440.5983     1114.70
commit   0    1450.0033       54.80
commit   0    1459.1389       48.80
commit   0    1475.9092     1048.80
commit   0    1485.2663       48.80
commit   0    1496.0255      545.80
commit   0    1509.1282      438.00
commit   0    1522.5960      557.80
commit   0    1531.8843       54.80
commit   0    1545.3821      563.80
commit   0    1556.0536      342.20
commit   0    1568.9117      719.50
commit   0    1578.9603      366.20
commit   0    1590.8295      695.50
commit   0    1600.2599       49.00
commit   0    1609.6944       54.80
commit   0    1625.5366     2210.50
commit   0    1634.7679       43.00
commit   0    1643.8975       48.80
commit   0    1660.2067     2156.60
commit   0    1669.1563       54.80
commit   0    1678.4025       48.80
commit   0    1687.9843       60.80
commit   0    1704.5958      551.80
commit   0    1713.5907       48.80
commit   0    1723.0057       66.80
commit   0    1738.2699     2234.40
commit   0    1747.4804       54.80
commit   0    1757.0619       78.80
commit   0    1766.4940       60.80
commit   0    1782.1601     1348.20
commit   0    1791.4924       60.80
commit   0    1800.8726       54.70
commit   0    1817.0732     2061.00
commit   0    1826.3396       66.70
commit   0    1835.6777       54.80
commit   0    1845.0637       60.80
commit   0    1861.1993     2677.60
commit   0    1870.7540       48.80
commit   0    1880.0393       48.80
commit   0    1896.3964     2354.60
commit   0    1906.1184      222.50
commit   0    1918.3110     1036.80
commit   0    1928.8446      324.30
commit   0    1940.4863     1509.90
commit   0    1953.7385      737.40
commit   0    1963.1656       66.80
commit   0    1972.5555       48.80
commit   0    1981.9816       54.80
commit   0    1998.6410     1677.50
commit   0    2009.7855      474.00
commit   0    2019.0199       48.80
commit   0    2028.6649       60.80
commit   0    2043.8416     2569.70
commit   0    2053.7545      402.10
commit   0    2063.4281       55.00
commit   0    2072.4850       60.70
commit   0    2088.8701     2749.40
commit   0    2098.1674       54.80
commit   0    2112.2249     1468.00
commit   0    2124.1449      575.70
commit   0    2134.8912      635.60
commit   0    2146.8173      348.20
commit   0    2158.9917      402.10
commit   0    2169.1722      234.40
commit   0    2181.5562      605.70
commit   0    2192.1918      402.30
commit   0    2204.2115      869.20
commit   0    2215.9191      426.00
commit   0    2226.7461      330.40
commit   0    2238.0824      450.00
commit   0    2249.7118      497.90
commit   0    2260.7906     1006.90
commit   0    2272.0112      569.70
commit   0    2283.6247      515.80
commit   0    2294.7594      527.80
commit   0    2307.0378      485.90
commit   0    2316.6935       54.80
commit   0    2327.4188      695.50
commit   0    2341.0634     1965.00
commit   0    2352.4744     1108.70
commit   0    2364.3884      414.10
commit   0    2375.9671     1312.30
commit   0    2388.3005      456.00
commit   0    2400.6485      725.40
commit   0    2410.6794      312.50
commit   0    2423.3089      581.70
commit   0    2435.4274      390.10
commit   0    2446.6736      575.70
commit   0    2459.0098      384.10
commit   0    2471.3459      462.00
commit   0    2481.6584      462.00
commit   0    2492.6554      366.20
commit   0    2505.2931      899.10
commit   0    2514.9248       66.80
commit   0    2527.8439     1078.70
commit   0    2538.4886      378.10
commit   0    2550.6961      474.00
commit   0    2562.2268      402.10
commit   0    2573.5540      330.20
commit   0    2585.3301      527.80
commit   0    2597.3767      462.00
commit   0    2609.6112      611.70
commit   0    2620.3305      545.90
commit   0    2632.3494      491.90
commit   0    2644.2423      641.60
commit   0    2655.3809      647.60
commit   0    2666.7659      468.00
commit   0    2678.8804      497.90
commit   0    2689.7257      282.30
commit   0    2701.9479      348.20
commit   0    2714.1584      450.00
commit   0    2724.9507      474.00
commit   0    2737.2171      456.00
commit   0    2747.7470      390.10
commit   0    2759.8039      420.00
commit   0    2771.8907      497.90
commit   0    2782.4984      378.10
commit   0    2794.5322      635.70
commit   0    2806.4222      779.40
commit   0    2817.2584      366.20
commit   0    2829.2023      575.80
commit   0    2840.7582      408.10
commit   0    2850.2319       72.70
commit   0    2859.4364       43.00
commit   0    2870.1377      336.20
commit   0    2885.0369     2953.00
commit   0    2894.4747       72.80
commit   0    2903.7461       48.80
commit   0    2920.0886     2102.70
commit   0    2929.5345       48.80
commit   0    2938.6811       42.80
commit   0    2948.0677       48.80
commit   0    2964.4727     2557.80
commit   0    2973.7912       60.80
commit   0    2983.3390       54.80
commit   0    2999.1243     2923.10
commit   0    3008.6400       54.80
commit   0    3018.0002       48.80
commit   0    3027.3961       66.80
commit   0    3044.1047     2042.80
commit   0    3053.5605       60.80
commit   0    3063.1004       48.80
commit   0    3079.5442     1815.30
commit   0    3089.0060       42.80
commit   0    3098.4434       54.80
commit   0    3114.3264     2905.10
commit   0    3123.6288       48.80
commit   0    3133.0509       54.80
commit   0    3142.4670       48.80
commit   0    3158.3263     1312.30
commit   0    3167.4085       43.10
commit   0    3176.8794       60.80
commit   0    3193.3264     1563.80
commit   0    3202.5518       60.80
commit   0    3211.6213       72.80
commit   0    3224.4569     1120.70
commit   0    3237.7452      300.30
commit   0    3246.8956       54.80
commit   0    3256.2616       48.80
commit   0    3272.5380     1312.30
commit   0    3284.5457      539.80
commit   0    3293.7862       42.80
commit   0    3305.4755      947.00
commit   0    3318.8118     2360.20
commit   0    3329.7346      725.50
commit   0    3341.6156     1641.60
commit   0    3354.2833     1108.70
commit   0    3364.8491      671.60
commit   0    3377.7443      941.00
commit   0    3386.9389       54.80
commit   0    3396.3610       54.80
commit   0    3411.6159     2887.10
commit   0    3421.6317      132.90
commit   0    3434.5158     1098.80
commit   0    3446.1304      659.60
commit   0    3457.0863      743.40
commit   0    3468.8682      456.00
commit   0    3480.6773      563.80
commit   0    3493.1932      779.30
commit   0    3503.7748      623.60
commit   0    3513.2486       48.80
commit   0    3522.6757       66.80
commit   0    3539.0117     3024.90
commit   0    3548.5037       60.80
commit   0    3557.7619       42.80
commit   0    3571.7269     1348.20
commit   0    3583.2553     1893.10
commit   0    3592.8570       60.80
commit   0    3602.2193       54.80
commit   0    3618.3780     2959.00
commit   0    3627.8480       48.80
commit   0    3637.2400       66.80
commit   0    3653.3325     2941.00
commit   0    3662.6477       48.80
commit   0    3673.5557     1150.60
commit   0    3687.2422     1581.80
commit   0    3698.8209      623.60
commit   0    3710.6148      659.60
commit   0    3720.8253      641.60
commit   0    3732.4254      545.80
commit   0    3743.9227      647.60
commit   0    3755.7318      611.70
commit   0    3766.6260      659.60
commit   0    3778.6327      539.80
commit   0    3790.5197      755.40
commit   0    3801.7482      444.00
commit   0    3812.7309      527.90
commit   0    3821.9893       54.80
commit   0    3833.0236     1695.50
commit   0    3847.7332     1126.60
commit   0    3859.6581      731.40
commit   0    3870.0563      432.00
commit   0    3882.4485      683.50
commit   0    3894.5641      713.50
commit   0    3905.8491      557.80
