   Operation      Sample         Ops
task-0-p2   0            1      274.00
task-0-p2   0            2    20081.00
task-0-p2   0            3    20083.00
task-0-p2   0            4    20082.00
task-0-p2   0            5    20087.00
task-0-p2   0            6    20092.00
task-0-p2   0            7    20090.00
task-0-p2   0            8    20088.00
task-0-p2   0            9    20100.00
task-0-p2   0           10    20081.00
task-0-p2   0           11    20085.00
task-0-p2   0           12    20082.00
task-0-p2   0           13    20087.00
task-0-p2   0           14    20085.00
task-0-p2   0           15    20086.00
task-0-p2   0           16    20086.00
task-0-p2   0           17    20076.00
task-0-p2   0           18    20080.00
task-0-p2   0           19    20087.00
task-0-p2   0           20    20078.00
task-0-p2   0           21    20081.00
task-0-p2   0           22    20086.00
task-0-p2   0           23    20086.00
task-0-p2   0           24    20082.00
task-0-p2   0           25    20082.00
task-0-p2   0           26    20083.00
task-0-p2   0           27    20087.00
task-0-p2   0           28    20077.00
task-0-p2   0           29    20091.00
task-0-p2   0           30    20089.00
task-0-p2   0           31      250.00
task-0-p2   0           32    20082.00
task-0-p2   0           33    20085.00
task-0-p2   0           34    20088.00
task-0-p2   0           35    20070.00
task-0-p2   0           36    20083.00
task-0-p2   0           37    20092.00
task-0-p2   0           38    20081.00
task-0-p2   0           39    20080.00
task-0-p2   0           40    20085.00
task-0-p2   0           41    20089.00
task-0-p2   0           42    20093.00
task-0-p2   0           43    20084.00
task-0-p2   0           44    20085.00
task-0-p2   0           45    20082.00
task-0-p2   0           46    20090.00
task-0-p2   0           47    20083.00
task-0-p2   0           48    20078.00
task-0-p2   0           49    20089.00
task-0-p2   0           50     6281.00
task-1-p3   0            1      111.00
task-1-p3   0            2      253.00
task-1-p3   0            3      274.00
task-1-p3   0            4      266.00
task-1-p3   0            5      263.00
task-1-p3   0            6      266.00
task-1-p3   0            7      245.00
task-1-p3   0            8      250.00
task-1-p3   0            9      245.00
task-1-p3   0           10      256.00
task-1-p3   0           11      253.00
task-1-p3   0           12      259.00
task-1-p3   0           13      245.00
task-1-p3   0           14      261.00
task-1-p3   0           15      255.00
task-1-p3   0           16      249.00
task-1-p3   0           17      248.00
task-1-p3   0           18      261.00
task-1-p3   0           19      268.00
task-1-p3   0           20      251.00
task-1-p3   0           21      260.00
task-1-p3   0           22      260.00
task-1-p3   0           23      271.00
task-1-p3   0           24      264.00
task-1-p3   0           25      256.00
task-1-p3   0           26      269.00
task-1-p3   0           27      256.00
task-1-p3   0           28      272.00
task-1-p3   0           29      273.00
