   Operation      Sample     Latency
10-i1-d0   0            1  2135472.20
10-i1-d0   0            2  2172347.00
10-i1-d0   0            3  2241714.00
10-i16-d0  0            1  2321206.20
10-i16-d0  0            2  2319344.80
10-i16-d0  0            3  2302751.80
10-i2-d0   0            1  2810105.80
10-i2-d0   0            2  2794813.40
10-i2-d0   0            3  2860232.60
10-i32-d0  0            1  1721172.60
10-i32-d0  0            2  1726695.40
10-i32-d0  0            3  1703607.60
10-i4-d0   0            1  3708766.60
10-i4-d0   0            2  3686097.80
10-i4-d0   0            3  3742377.20
10-i64-d0  0            1  1214623.60
10-i64-d0  0            2  1184211.60
10-i64-d0  0            3  1208419.40
10-i8-d0   0            1  3252137.40
10-i8-d0   0            2  3275698.80
10-i8-d0   0            3  3279412.60
14-i1-d0   0            1  2857913.80
14-i1-d0   0            2  3180660.40
14-i1-d0   0            3  2845645.60
14-i16-d0  0            1  2728147.20
14-i16-d0  0            2  2688516.60
14-i16-d0  0            3  2705992.80
14-i2-d0   0            1  5411651.00
14-i2-d0   0            2  5828908.20
14-i2-d0   0            3  5665623.40
14-i32-d0  0            1  1944998.00
14-i32-d0  0            2  1941989.40
14-i32-d0  0            3  1937206.80
14-i4-d0   0            1  5568551.20
14-i4-d0   0            2  5552932.40
14-i4-d0   0            3  5442811.00
14-i64-d0  0            1  1352942.00
14-i64-d0  0            2  1312248.00
14-i64-d0  0            3  1341676.60
14-i8-d0   0            1  4029093.80
14-i8-d0   0            2  4088803.80
14-i8-d0   0            3  4084635.20
16-i1-d0   0            1  2881299.20
16-i1-d0   0            2  2976667.60
16-i1-d0   0            3  2931414.40
16-i16-d0  0            1  2825925.20
16-i16-d0  0            2  2849460.40
16-i16-d0  0            3  2847638.00
16-i2-d0   0            1  4541840.80
16-i2-d0   0            2  4471712.80
16-i2-d0   0            3  4464432.00
16-i32-d0  0            1  2011997.00
16-i32-d0  0            2  2005463.60
16-i32-d0  0            3  2016485.20
16-i4-d0   0            1  6077231.60
16-i4-d0   0            2  6041277.00
16-i4-d0   0            3  6069929.80
16-i64-d0  0            1  1383304.60
16-i64-d0  0            2  1351861.20
16-i64-d0  0            3  1376562.80
16-i8-d0   0            1  4516121.40
16-i8-d0   0            2  4535577.40
16-i8-d0   0            3  4561252.80
2-i1-d0    0            1   780937.00
2-i1-d0    0            2   774989.00
2-i1-d0    0            3   757931.00
2-i16-d0   0            1   811128.80
2-i16-d0   0            2   810578.20
2-i16-d0   0            3   784955.20
2-i2-d0    0            1   779524.60
2-i2-d0    0            2   823751.20
2-i2-d0    0            3   795176.00
2-i32-d0   0            1   836860.80
2-i32-d0   0            2   790991.20
2-i32-d0   0            3   832409.60
2-i4-d0    0            1   774488.60
2-i4-d0    0            2   765413.20
2-i4-d0    0            3   772218.40
2-i64-d0   0            1   475360.40
2-i64-d0   0            2   463300.80
2-i64-d0   0            3   477665.60
2-i8-d0    0            1   810199.20
2-i8-d0    0            2   831429.80
2-i8-d0    0            3   812297.60
20-i1-d0   0            1  4316778.20
20-i1-d0   0            2  4565504.00
20-i1-d0   0            3  4339687.80
20-i16-d0  0            1  3225099.80
20-i16-d0  0            2  3198947.80
20-i16-d0  0            3  3218581.00
20-i2-d0   0            1  6956881.80
20-i2-d0   0            2  6748125.20
20-i2-d0   0            3  6679275.60
20-i32-d0  0            1  2138548.00
20-i32-d0  0            2  2133220.00
20-i32-d0  0            3  2161516.00
20-i4-d0   0            1  7239399.80
20-i4-d0   0            2  7343949.20
20-i4-d0   0            3  7426498.00
20-i64-d0  0            1  2130661.40
20-i64-d0  0            2  2092491.80
20-i64-d0  0            3  2131048.80
20-i8-d0   0            1  5185488.20
20-i8-d0   0            2  5167484.40
20-i8-d0   0            3  5188180.40
26-i1-d0   0            1  4924896.80
26-i1-d0   0            2  4881293.80
26-i1-d0   0            3  4877312.60
26-i16-d0  0            1  3256603.80
26-i16-d0  0            2  3238771.60
26-i16-d0  0            3  3253742.60
26-i2-d0   0            1  6583903.60
26-i2-d0   0            2  6616800.20
26-i2-d0   0            3  6614023.40
26-i32-d0  0            1  2805592.00
26-i32-d0  0            2  2833472.40
26-i32-d0  0            3  2842578.00
26-i4-d0   0            1  7204912.80
26-i4-d0   0            2  7228043.80
26-i4-d0   0            3  7265510.80
26-i64-d0  0            1  2483783.00
26-i64-d0  0            2  2496021.80
26-i64-d0  0            3  2488331.00
26-i8-d0   0            1  5517445.80
26-i8-d0   0            2  5502568.20
26-i8-d0   0            3  5627493.60
32-i1-d0   0            1  5585503.40
32-i1-d0   0            2  5540793.40
32-i1-d0   0            3  5795945.80
32-i16-d0  0            1  3540180.40
32-i16-d0  0            2  3502343.40
32-i16-d0  0            3  3524254.60
32-i2-d0   0            1  7449627.00
32-i2-d0   0            2  7416813.20
32-i2-d0   0            3  7582126.40
32-i32-d0  0            1  3671389.40
32-i32-d0  0            2  3659274.80
32-i32-d0  0            3  3650059.20
32-i4-d0   0            1  8520254.00
32-i4-d0   0            2  8656423.60
32-i4-d0   0            3  8535984.60
32-i64-d0  0            1  2637163.20
32-i64-d0  0            2  2633140.80
32-i64-d0  0            3  2641943.80
32-i8-d0   0            1  6201111.20
32-i8-d0   0            2  6149606.80
32-i8-d0   0            3  6128546.20
38-i1-d0   0            1  6465798.40
38-i1-d0   0            2  6546820.20
38-i1-d0   0            3  6501412.20
38-i16-d0  0            1  3585660.20
38-i16-d0  0            2  3631081.20
38-i16-d0  0            3  3644697.00
38-i2-d0   0            1  8542981.40
38-i2-d0   0            2  8531678.40
38-i2-d0   0            3  8696767.60
38-i32-d0  0            1  3970965.60
38-i32-d0  0            2  3943272.80
38-i32-d0  0            3  3953353.00
38-i4-d0   0            1  8742665.80
38-i4-d0   0            2  8471653.40
38-i4-d0   0            3  8602804.20
38-i64-d0  0            1  3726345.20
38-i64-d0  0            2  3814412.20
38-i64-d0  0            3  3718099.80
38-i8-d0   0            1  6598660.20
38-i8-d0   0            2  6606194.40
38-i8-d0   0            3  6573470.60
4-i1-d0    0            1  1269294.00
4-i1-d0    0            2  1372640.40
4-i1-d0    0            3  1287349.20
4-i16-d0   0            1  1216997.80
4-i16-d0   0            2  1298473.80
4-i16-d0   0            3  1290805.80
4-i2-d0    0            1  1365498.00
4-i2-d0    0            2  1313684.00
4-i2-d0    0            3  1416892.40
4-i32-d0   0            1  1038047.40
4-i32-d0   0            2  1024325.00
4-i32-d0   0            3  1028341.60
4-i4-d0    0            1  1826858.00
4-i4-d0    0            2  2027510.80
4-i4-d0    0            3  1992818.20
4-i64-d0   0            1   795438.40
4-i64-d0   0            2   780511.60
4-i64-d0   0            3   799512.40
4-i8-d0    0            1  1646554.00
4-i8-d0    0            2  1714127.00
4-i8-d0    0            3  1719049.60
46-i1-d0   0            1  7497820.20
46-i1-d0   0            2  7617257.00
46-i1-d0   0            3  7861035.20
46-i16-d0  0            1  4907185.80
46-i16-d0  0            2  4861960.80
46-i16-d0  0            3  4926709.40
46-i2-d0   0            1  8834116.20
46-i2-d0   0            2  8664406.60
46-i2-d0   0            3  8742036.20
46-i32-d0  0            1  4079649.40
46-i32-d0  0            2  4133224.20
46-i32-d0  0            3  4170634.20
46-i4-d0   0            1  8612939.80
46-i4-d0   0            2  8360885.80
46-i4-d0   0            3  8432821.80
46-i64-d0  0            1  4775478.20
46-i64-d0  0            2  4901758.80
46-i64-d0  0            3  4729163.00
46-i8-d0   0            1  6794097.40
46-i8-d0   0            2  6705705.60
46-i8-d0   0            3  6666612.20
56-i1-d0   0            1  9371675.40
56-i1-d0   0            2  9169056.80
