   Operation         Lat
50.0th-qrtle-1   0         8.00
75.0th-qrtle-1   0         8.00
90.0th-qrtle-1   0        12.00
95.0th-qrtle-1   0        13.00
99.0th-qrtle-1   0        14.00
99.5th-qrtle-1   0        15.00
99.9th-qrtle-1   0        16.00
50.0th-qrtle-2   0        11.00
75.0th-qrtle-2   0        13.00
90.0th-qrtle-2   0        14.00
95.0th-qrtle-2   0        15.00
99.0th-qrtle-2   0        17.00
99.5th-qrtle-2   0        19.00
99.9th-qrtle-2   0        29.00
50.0th-qrtle-4   0        15.00
75.0th-qrtle-4   0        17.00
90.0th-qrtle-4   0        19.00
95.0th-qrtle-4   0        20.00
99.0th-qrtle-4   0        23.00
99.5th-qrtle-4   0        27.00
99.9th-qrtle-4   0        71.00
50.0th-qrtle-8   0        21.00
75.0th-qrtle-8   0        26.00
90.0th-qrtle-8   0        30.00
95.0th-qrtle-8   0        32.00
99.0th-qrtle-8   0        35.00
99.5th-qrtle-8   0        36.00
99.9th-qrtle-8   0        52.00
50.0th-qrtle-16  0        34.00
75.0th-qrtle-16  0        46.00
90.0th-qrtle-16  0        55.00
95.0th-qrtle-16  0        60.00
99.0th-qrtle-16  0        69.00
99.5th-qrtle-16  0        73.00
99.9th-qrtle-16  0       114.00
50.0th-qrtle-25  0        54.00
75.0th-qrtle-25  0        76.00
90.0th-qrtle-25  0        93.00
95.0th-qrtle-25  0       101.00
99.0th-qrtle-25  0       129.00
99.5th-qrtle-25  0      3708.00
99.9th-qrtle-25  0     16736.00
