   Operation      Sample         Ops
sembench-futex-2   0            1   621968.00
sembench-futex-5   0            1   371386.00
sembench-futex-8   0            1   368742.00
sembench-futex-12  0            1   489491.00
sembench-futex-21  0            1   597717.00
sembench-futex-30  0            1   575412.00
sembench-futex-48  0            1   317311.00
sembench-futex-79  0            1   289716.00
sembench-futex-110 0            1   292639.00
sembench-futex-141 0            1   302151.00
sembench-futex-172 0            1   291527.00
sembench-futex-203 0            1   293786.00
sembench-futex-234 0            1   279653.00
sembench-futex-265 0            1   286570.00
sembench-futex-296 0            1   291758.00
sembench-futex-327 0            1   288155.00
sembench-futex-358 0            1   285530.00
sembench-futex-389 0            1   285055.00
sembench-futex-420 0            1   288672.00
sembench-futex-451 0            1   288892.00
sembench-futex-482 0            1   287025.00
sembench-futex-513 0            1   287312.00
sembench-futex-544 0            1   285370.00
sembench-futex-575 0            1   278996.00
sembench-futex-606 0            1   283457.00
sembench-futex-637 0            1   282648.00
sembench-futex-668 0            1   286133.00
sembench-futex-699 0            1   282680.00
sembench-futex-730 0            1   282084.00
sembench-futex-761 0            1   283235.00
sembench-futex-792 0            1   282542.00
sembench-futex-823 0            1   282022.00
sembench-futex-854 0            1   280723.00
sembench-futex-885 0            1   282527.00
sembench-futex-916 0            1   279793.00
sembench-futex-947 0            1   276229.00
sembench-futex-978 0            1   282628.00
sembench-futex-10090            1   285822.00
sembench-futex-10400            1   283763.00
sembench-futex-10710            1   286539.00
sembench-futex-11020            1   280196.00
sembench-futex-11330            1   285139.00
sembench-futex-11640            1   289622.00
sembench-futex-11950            1   284271.00
sembench-futex-12260            1   288501.00
sembench-futex-12570            1   287754.00
sembench-futex-12880            1   282538.00
sembench-futex-13190            1   288328.00
sembench-futex-13500            1   284490.00
sembench-futex-13810            1   282406.00
sembench-futex-14120            1   287419.00
sembench-futex-14430            1   284273.00
sembench-futex-14740            1   280329.00
sembench-futex-15050            1   282457.00
sembench-futex-15360            1   282527.00
sembench-futex-15670            1   288508.00
sembench-futex-15980            1   279700.00
sembench-futex-16290            1   284977.00
sembench-futex-16600            1   284031.00
sembench-futex-16910            1   284884.00
sembench-futex-17220            1   288844.00
sembench-futex-17530            1   285685.00
