   Operation      Sample         Ops
14   0            1       62.55
14   0            2       65.47
14   0            3       55.39
14   0            4       62.04
14   0            5       65.08
14   0            6       60.90
14   0            7       55.36
14   0            8       65.40
14   0            9       65.17
14   0           10       64.36
100  0            1      680.28
100  0            2      680.78
100  0            3      681.72
100  0            4      679.39
100  0            5      680.92
100  0            6      678.55
100  0            7      679.01
100  0            8      679.29
100  0            9      678.13
100  0           10      678.66
300  0            1     1827.31
300  0            2     1831.97
300  0            3     1836.42
300  0            4     1831.99
300  0            5     1826.21
300  0            6     1840.85
300  0            7     1837.42
300  0            8     1831.86
300  0            9     1834.97
300  0           10     1830.08
500  0            1     2841.69
500  0            2     2854.64
500  0            3     2849.00
500  0            4     2844.51
500  0            5     2844.12
500  0            6     2849.82
500  0            7     2851.54
500  0            8     2849.88
500  0            9     2847.27
500  0           10     2844.46
850  0            1     4273.44
850  0            2     4281.94
850  0            3     4311.10
850  0            4     4303.35
850  0            5     4276.32
850  0            6     4284.39
850  0            7     4308.95
850  0            8     4283.72
850  0            9     4268.46
850  0           10     4280.47
