   Operation      Sample         Ops
14   0            1       65.15
14   0            2       65.39
14   0            3       64.81
14   0            4       64.71
14   0            5       63.94
14   0            6       65.35
14   0            7       65.23
14   0            8       65.03
14   0            9       65.27
14   0           10       65.33
100  0            1      678.97
100  0            2      681.08
100  0            3      679.91
100  0            4      679.23
100  0            5      678.70
100  0            6      680.60
100  0            7      679.90
100  0            8      680.53
100  0            9      680.02
100  0           10      679.63
300  0            1     1836.61
300  0            2     1829.66
300  0            3     1829.02
300  0            4     1840.53
300  0            5     1834.07
300  0            6     1837.90
300  0            7     1833.28
300  0            8     1841.48
300  0            9     1830.86
300  0           10     1836.03
500  0            1     2850.64
500  0            2     2853.71
500  0            3     2851.23
500  0            4     2850.47
500  0            5     2849.30
500  0            6     2848.83
500  0            7     2795.80
500  0            8     2846.31
500  0            9     2856.57
500  0           10     2846.99
850  0            1     4300.45
850  0            2     4284.25
850  0            3     4265.00
850  0            4     4293.03
850  0            5     4274.78
850  0            6     4294.81
850  0            7     4299.81
850  0            8     4278.64
850  0            9     4266.26
850  0           10     4279.64
   Operation      SampleRound-Trip-Time
   Operation      Sample         Ops
14   0            1       14.65
14   0            2       13.61
14   0            3       14.72
14   0            4       13.76
14   0            5       13.83
14   0            6       13.33
14   0            7       13.68
14   0            8       13.91
14   0            9       13.67
14   0           10       13.77
100  0            1       95.42
100  0            2       98.90
100  0            3      100.41
100  0            4      102.95
100  0            5      101.31
100  0            6       99.71
100  0            7      102.72
100  0            8       97.53
100  0            9       97.59
100  0           10       98.84
300  0            1      292.69
300  0            2      295.80
300  0            3      291.05
300  0            4      300.64
300  0            5      290.87
300  0            6      293.96
300  0            7      293.86
300  0            8      300.56
300  0            9      302.34
300  0           10      284.35
500  0            1      507.63
500  0            2      510.19
500  0            3      479.00
500  0            4      505.80
500  0            5      497.64
500  0            6      513.63
500  0            7      514.62
500  0            8      524.20
500  0            9      504.58
500  0           10      527.86
850  0            1      829.42
850  0            2      854.85
850  0            3      849.24
850  0            4      819.81
850  0            5      828.82
850  0            6      820.56
850  0            7      810.20
850  0            8      796.27
850  0            9      824.48
850  0           10      887.11
   Operation      SampleRound-Trip-Time
