   Operation      Sample         Ops
Time   0            1       87.00
Time   0            2       62.00
Time   0            3       62.00
Time   0            4       58.00
Time   0            5       61.00
Time   0            6       60.00
Time   0            7       59.00
Time   0            8       58.00
Time   0            9       57.00
Time   0           10       59.00
Time   0           11       58.00
Time   0           12       58.00
Time   0           13       58.00
Time   0           14       61.00
Time   0           15       58.00
Time   0           16       58.00
Time   0           17       61.00
Time   0           18       58.00
Time   0           19       58.00
Time   0           20       60.00
Time   0           21       60.00
Time   0           22       59.00
Time   0           23       58.00
Time   0           24       58.00
Time   0           25       57.00
Time   0           26       58.00
Time   0           27       58.00
Time   0           28       58.00
Time   0           29       60.00
Time   0           30       58.00
Time   0           31       58.00
Time   0           32       57.00
Time   0           33       60.00
Time   0           34       57.00
Time   0           35       56.00
Time   0           36       56.00
Time   0           37       57.00
Time   0           38       55.00
Time   0           39       55.00
Time   0           40       57.00
Time   0           41       57.00
Time   0           42       58.00
Time   0           43       57.00
Time   0           44       58.00
Time   0           45       57.00
Time   0           46       56.00
Time   0           47       57.00
Time   0           48       56.00
Time   0           49       58.00
Time   0           50       57.00
Time   0           51       57.00
Time   0           52       57.00
Time   0           53       56.00
Time   0           54       58.00
Time   0           55       57.00
Time   0           56       57.00
Time   0           57       57.00
Time   0           58       58.00
Time   0           59       59.00
Time   0           60       57.00
Time   0           61       57.00
Time   0           62       58.00
Time   0           63       58.00
Time   0           64       56.00
Time   0           65       58.00
Time   0           66       56.00
Time   0           67       58.00
Time   0           68       56.00
Time   0           69       56.00
Time   0           70       58.00
Time   0           71       56.00
Time   0           72       56.00
Time   0           73       57.00
Time   0           74       60.00
Time   0           75       56.00
Time   0           76       56.00
Time   0           77       56.00
Time   0           78       56.00
Time   0           79       56.00
Time   0           80       56.00
Time   0           81       58.00
Time   0           82       57.00
Time   0           83       56.00
Time   0           84       56.00
Time   0           85       55.00
Time   0           86       57.00
Time   0           87       57.00
Time   0           88       56.00
Time   0           89       59.00
Time   0           90       56.00
Time   0           91       56.00
Time   0           92       56.00
Time   0           93       56.00
Time   0           94       58.00
Time   0           95       56.00
Time   0           96       57.00
Time   0           97       58.00
Time   0           98       56.00
Time   0           99       57.00
Time   0          100       55.00
Time   0          101       55.00
Time   0          102       56.00
Time   0          103       56.00
Time   0          104       57.00
Time   0          105       59.00
Time   0          106       54.00
Time   0          107       56.00
Time   0          108       56.00
Time   0          109       56.00
Time   0          110       57.00
Time   0          111       57.00
Time   0          112       56.00
Time   0          113       58.00
Time   0          114       56.00
Time   0          115       56.00
Time   0          116       56.00
Time   0          117       55.00
Time   0          118       57.00
Time   0          119       57.00
