   Operation      Sample         Ops
syst-1   0            1       10.60
syst-1   0            2       10.35
syst-1   0            3       11.42
syst-1   0            4        8.51
syst-1   0            5        9.99
syst-1   0            6       10.31
syst-1   0            7       10.31
elsp-1   0            1       37.04
elsp-1   0            2       36.50
elsp-1   0            3       38.74
elsp-1   0            4       33.93
elsp-1   0            5       36.20
elsp-1   0            6       36.43
elsp-1   0            7       36.50
syst-3   0            1       10.04
syst-3   0            2        9.49
syst-3   0            3        9.46
syst-3   0            4        9.44
syst-3   0            5        9.31
syst-3   0            6        9.31
syst-3   0            7       13.50
elsp-3   0            1       19.78
elsp-3   0            2       19.79
elsp-3   0            3       20.66
elsp-3   0            4       19.13
elsp-3   0            5       19.16
elsp-3   0            6       19.31
elsp-3   0            7       21.71
syst-4   0            1       11.83
syst-4   0            2       13.45
syst-4   0            3       15.19
syst-4   0            4       12.54
syst-4   0            5       11.94
syst-4   0            6       10.84
syst-4   0            7       12.57
elsp-4   0            1       20.10
elsp-4   0            2       22.02
elsp-4   0            3       21.15
elsp-4   0            4       20.05
elsp-4   0            5       19.65
elsp-4   0            6       18.78
elsp-4   0            7       21.97
