   Operation      Sample         Ops
syst-1   0            1        0.40
syst-1   0            2        0.40
syst-1   0            3        0.37
syst-1   0            4        0.42
syst-1   0            5        0.39
syst-1   0            6        0.37
syst-1   0            7        0.39
elsp-1   0            1        1.72
elsp-1   0            2        1.75
elsp-1   0            3        1.71
elsp-1   0            4        1.71
elsp-1   0            5        1.71
elsp-1   0            6        1.72
elsp-1   0            7        1.71
syst-4   0            1       12.46
syst-4   0            2       11.44
syst-4   0            3       11.18
syst-4   0            4       10.82
syst-4   0            5       14.21
syst-4   0            6       10.89
syst-4   0            7       11.11
elsp-4   0            1       43.80
elsp-4   0            2       79.83
elsp-4   0            3       44.59
elsp-4   0            4       80.47
elsp-4   0            5       42.83
elsp-4   0            6       77.73
elsp-4   0            7       45.53
syst-7   0            1       19.34
syst-7   0            2       18.25
syst-7   0            3       20.43
syst-7   0            4       17.55
syst-7   0            5       17.50
syst-7   0            6       20.10
syst-7   0            7       18.48
elsp-7   0            1       64.23
elsp-7   0            2       44.53
elsp-7   0            3       74.55
elsp-7   0            4       44.11
elsp-7   0            5       67.84
elsp-7   0            6       45.29
elsp-7   0            7       66.99
syst-12  0            1       32.66
syst-12  0            2       33.87
syst-12  0            3       34.07
syst-12  0            4       32.98
syst-12  0            5       32.98
syst-12  0            6       33.24
syst-12  0            7       33.59
elsp-12  0            1       46.03
elsp-12  0            2       60.96
elsp-12  0            3       47.86
elsp-12  0            4       65.72
elsp-12  0            5       46.56
elsp-12  0            6       65.06
elsp-12  0            7       46.05
syst-21  0            1       64.86
syst-21  0            2       57.29
syst-21  0            3       59.38
syst-21  0            4       53.28
syst-21  0            5       63.15
syst-21  0            6       58.54
syst-21  0            7       52.84
elsp-21  0            1       55.40
elsp-21  0            2       48.82
elsp-21  0            3       54.96
elsp-21  0            4       47.06
elsp-21  0            5       54.10
elsp-21  0            6       50.56
elsp-21  0            7       46.96
syst-30  0            1       82.50
syst-30  0            2       83.26
syst-30  0            3       83.17
syst-30  0            4       76.56
syst-30  0            5       78.99
syst-30  0            6       86.73
syst-30  0            7       84.35
elsp-30  0            1       51.69
elsp-30  0            2       51.97
elsp-30  0            3       50.44
elsp-30  0            4       52.43
elsp-30  0            5       51.34
elsp-30  0            6       54.19
elsp-30  0            7       50.05
syst-48  0            1      105.23
syst-48  0            2      127.04
syst-48  0            3      115.35
syst-48  0            4      119.37
syst-48  0            5      127.57
syst-48  0            6       92.85
syst-48  0            7      107.97
elsp-48  0            1       52.66
elsp-48  0            2       48.81
elsp-48  0            3       47.46
elsp-48  0            4       49.56
elsp-48  0            5       49.79
elsp-48  0            6       48.71
elsp-48  0            7       51.19
syst-79  0            1      137.03
syst-79  0            2      136.49
syst-79  0            3      126.75
syst-79  0            4      125.24
syst-79  0            5      131.05
syst-79  0            6      128.10
syst-79  0            7      136.86
elsp-79  0            1       50.08
elsp-79  0            2       51.22
elsp-79  0            3       48.91
elsp-79  0            4       50.61
elsp-79  0            5       49.06
elsp-79  0            6       49.24
elsp-79  0            7       51.35
syst-80  0            1      131.43
syst-80  0            2      129.42
syst-80  0            3      126.34
syst-80  0            4      129.61
syst-80  0            5      121.56
syst-80  0            6      118.72
syst-80  0            7      113.13
elsp-80  0            1       49.74
elsp-80  0            2       49.73
elsp-80  0            3       50.16
elsp-80  0            4       47.56
elsp-80  0            5       53.03
elsp-80  0            6       61.86
elsp-80  0            7       48.26
