
Frequency = 10 secs
Scratch dir = [/home/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        25       899724          1379        791291          1464        483835          2795
        46       988465          1313        863866           918        560687          2801
        64      1025588          1245        889818           914        559710          2603
        73       983085           871        860968           813        538422          1870
        87       978674           920        858655           708        532292          2199
       102       978911           987        854820           563        545176          2229
       117       956829           863        834946          1006        517100          2337
       133       944042           857        820333           714        514171          2004
       147       937765          1051        818942           925        527261          2148
       161       940787           954        821883           609        522833          1863
       173       935102           826        819466           781        526069          1844
       186       934606           881        823979           537        523345          1703
       197       927434           967        818064           633        514911          1614
       209       932320           979        826276           644        517483          1613
       220       924144           834        820093           680        521918          1545
       231       922646           860        818977           530        521289          1599
       238       933325           748        828789           606        517307          1530
       251       927110           755        823291           647        510406          1588
       262       929574           737        826131           644        513512          1536
       271       924144           673        822169           717        518352          1554
       282       930239           805        819858           565        510054          1570
       292       925628           720        819953           680        512972          1714
       299       925947           702        817196           541        506338          1527
       310       931524           880        818896           464        506446          1632
       320       929609           614        824641           650        504479          1758
       329       931951           716        822159           568        503661          1660
       339       931886           867        819338           541        496302          1593
       350       934883           788        816835           551        498244          1539
       358       934556           622        815479           606        491728          1797
       370       932776           695        814785           608        487457          1687

Final score for writes:           370
Final score for reads :        358345

