
Frequency = 10 secs
Scratch dir = [/root/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
       136      1133043          8379        984150          7455        777483         28298
       185      1275269          3172       1112184          2880        857997         16224
       235      1293431          3455       1131643          2770        874948         11051
       282      1292361          3313       1128790          3032        858382         11157
       321      1274679          3316       1115392          2651        858845         10446
       375      1301721          3210       1130389          2823        859665          9989
       429      1257354          3740       1095221          3093        845376         10136
       472      1314163          3231       1137778          2790        864551          9077
       522      1300710          3193       1120704          2748        858065          8612
       564      1299242          2855       1086865          2549        827064          8180
       611      1230669          3376       1059723          2761        815285          8514
       661       974091          3347        817118          2781        653100          8633
       735       765164          5581        658125          4365        512269         13254
      1008       314686         18026        269773         16127        208521         54927
      1338       135009         20934        114808         18773         87919         49026
      1625        96899         18528         83692         16526         62682         42650
      1907        80013         19020         68682         16172         55119         42120
      2172        81765         16532         70081         16036         52570         43314
      2425        74928         16755         64176         15161         48046         40258
      2654        71080         17013         60171         13564         43988         36951
      2899        68405         17358         57282         14631         41679         40371
      3151        62583         15429         53895         15097         40737         37640
      3399        58293         17451         49254         14492         37776         38431
      3645        61066         17259         51726         14792         37368         36286
      3884        57165         16957         48618         14546         35325         37132
      4132        58852         17791         49874         15350         35244         38610
      4378        54475         16999         46425         15715         31082         36973
      4562        55842         13347         47786         11654         34507         32628
      4795        54083         15446         45801         13918         33218         37541
      5039        51504         15248         43428         14357         30616         35463

Final score for writes:          5039
Final score for reads :        250976

